"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Action News Crew","W","C","57412","3.52","16799","4.43","42015","63.9%","56.9%","7558","55.0%","9510","55.2%","17068","55.1%","24969","58.1%","-3.0pp"
"Agent Bishop, Man in Black","W","R","3126","1.22","2748","1.23","9955","91.6%","59.5%","1756","65.9%","2635","64.9%","4391","65.3%","5626","55.2%","10.1pp"
"All Will Be One","R","M","511","2.69","152","","88","14.9%","","13","","23","","36","","53","",""
"Anchovy & Banana Pizza","B","C","36836","2.26","18883","2.47","62323","85.1%","56.8%","10406","54.7%","16027","59.8%","26433","57.8%","33031","55.3%","2.5pp"
"April O'Neil, Hacktivist","U","R","4094","1.63","3194","1.63","11273","89.5%","59.3%","1954","63.4%","3276","64.7%","5230","64.2%","6130","55.1%","9.1pp"
"April O'Neil, Kunoichi Trainee","W","C","45932","2.82","18125","3.18","56870","80.2%","58.0%","10310","59.7%","12906","57.8%","23216","58.6%","33655","57.7%","0.9pp"
"April, Reporter of the Weird","U","U","22407","3.66","5545","4.82","5713","26.9%","50.6%","1028","49.5%","1583","51.9%","2611","50.9%","3118","50.1%","0.8pp"
"Arcbound Ravager","","R","438","","227","","580","69.9%","54.1%","120","","157","","277","","295","",""
"Armaggon, Future Shark","B","R","3552","1.44","2714","1.45","8859","82.6%","58.5%","1458","57.8%","2519","66.9%","3977","63.5%","4884","54.5%","9.1pp"
"Ashcoat of the Shadow Swarm","B","M","448","","162","","157","27.0%","","29","","29","","58","","99","",""
"Baxter Stockman","UR","U","17807","2.69","8872","2.89","25431","73.1%","57.3%","4243","56.6%","7244","61.9%","11487","60.0%","14010","55.2%","4.8pp"
"Bebop & Rocksteady","BG","R","4588","2.04","2101","2.19","5527","69.0%","55.0%","1000","57.3%","1507","57.2%","2507","57.2%","3032","53.3%","4.0pp"
"Bebop, Warthog Warrior","B","C","61461","3.91","14955","5.28","19664","34.2%","53.5%","3483","51.0%","5021","54.1%","8504","52.8%","11215","53.9%","-1.1pp"
"Bespoke B?","U","U","18115","2.79","7843","3.16","22255","73.3%","55.8%","3813","53.6%","6399","59.2%","10212","57.1%","11858","54.6%","2.5pp"
"Bot Bashing Time","R","C","56620","3.57","16096","4.55","33746","54.3%","54.5%","5634","51.5%","8918","55.9%","14552","54.2%","19199","54.7%","-0.5pp"
"Brainstorm","U","C","556","2.89","164","","291","48.3%","","49","","84","","133","","158","",""
"Brilliance Unleashed","UR","U","18293","2.64","10016","2.80","30545","76.9%","58.9%","5137","57.6%","8903","65.1%","14040","62.4%","16507","56.0%","6.3pp"
