name,n_gih,actual_gih_wr,predicted_gih_wr,residual
"Sally Pride, Lioness Leader",4305,0.696,0.6361474778485793,0.05985252215142067
Mighty Mutanimals,11945,0.6579999999999999,0.6021810844154029,0.05581891558459706
Lessons from Life,10927,0.609,0.560408401307644,0.048591598692355964
Metalhead,15096,0.625,0.5843168306556169,0.0406831693443831
"Agent Bishop, Man in Black",4391,0.653,0.6127434879359404,0.04025651206405967
"April O'Neil, Hacktivist",5230,0.642,0.6021643971806749,0.03983560281932508
Courier of Comestibles,12301,0.622,0.5830571673293208,0.03894283267067922
Dream Beavers,11898,0.635,0.5984166589012465,0.0365833410987535
Manhole Missile,27820,0.599,0.5643233080214917,0.03467669197850831
Frog Butler,30582,0.621,0.5887405321659032,0.03225946783409683
Turncoat Kunoichi,3583,0.628,0.5962752061240612,0.03172479387593885
"Leatherhead, Swamp Stalker",3797,0.6409999999999999,0.6096245528555212,0.03137544714447871
Sewer-veillance Cam,28450,0.593,0.5629920729312462,0.03000792706875377
Return to the Sewers,25236,0.594,0.5642832606180185,0.029716739381981494
The Last Ronin,2901,0.685,0.65543518060829,0.029564819391710073
Tenderize,24326,0.584,0.5553923378476954,0.02860766215230459
Michelangelo's Technique,2029,0.5870000000000001,0.5588277366945963,0.02817226330540379
Ninja Teen,3277,0.589,0.5616637677569722,0.027336232243027725
"Don & Leo, Problem Solvers",4910,0.643,0.6157181844213807,0.027281815578619306
Tainted Treats,11072,0.613,0.5873858136704927,0.025614186329507294
Ravenous Robots,3636,0.603,0.5784928408305889,0.02450715916941104
Baxter Stockman,11487,0.6,0.5757118733097842,0.02428812669021574
"Donatello, Turtle Techie",25616,0.5820000000000001,0.557898833159314,0.024101166840686084
"Raphael, the Nightwatcher",3216,0.597,0.5764131012731816,0.020586898726818403
Everything Pizza,12205,0.637,0.617030870176434,0.019969129823566023
Brilliance Unleashed,14040,0.624,0.6043358213368498,0.019664178663150178
"Lord Dregg, Insect Invader",9488,0.584,0.564421882118374,0.019578117881626
Nobody,26724,0.5820000000000001,0.5626918492593304,0.019308150740669716
Mouser Mark III,16716,0.5589999999999999,0.5397556488116704,0.019244351188329567
Stomped by the Foot,26534,0.5720000000000001,0.5529039916320343,0.019096008367965767
Primordial Pachyderm,22915,0.5820000000000001,0.5629734663643129,0.01902653363568718
"Casey Jones, Jury-Rig Justiciar",10197,0.605,0.58604052159698,0.018959478403020036
"Kitsune, Dragon's Daughter",4541,0.643,0.6246876005904679,0.01831239940953211
Ooze Spill,9014,0.608,0.5900260688576414,0.017973931142358568
Novel Nunchaku,10930,0.598,0.5800296187037328,0.017970381296267157
Dimensional Exile,10438,0.603,0.5851807918671025,0.0178192081328975
"Splinter, Hamato Yoshi",9411,0.586,0.5685982881184293,0.01740171188157069
"Michelangelo, Game Master",17277,0.552,0.5346864663493724,0.0173135336506276
The Last Ronin's Technique,9943,0.585,0.5680699686127959,0.01693003138720406
Mouser Foundry,28247,0.6,0.5831744343300574,0.016825565669942533
Quintessential Katana,7423,0.5760000000000001,0.5594826149235533,0.016517385076446733
Does Machines,4061,0.61,0.5941924816701638,0.01580751832983618
Dark Leo & Shredder,2112,0.639,0.6234817585707658,0.015518241429234192
"Leonardo, Leader in Blue",9611,0.593,0.5780012720072047,0.014998727992795224
"April O'Neil, Kunoichi Trainee",23216,0.586,0.571224814206687,0.01477518579331294
Shredder's Technique,10904,0.5770000000000001,0.5623141312536145,0.014685868746385555
Death in the Family,11038,0.581,0.5665045935671621,0.014495406432837865
The Ooze,4300,0.597,0.5827784462819012,0.014221553718098745
Transdimensional Bovine,3752,0.603,0.5893852979963295,0.013614702003670431
Saved by the Shell,8216,0.574,0.5605063814988466,0.013493618501153382
North Wind Avatar,2654,0.625,0.6121724508928044,0.012827549107195635
"Mikey & Don, Party Planners",4291,0.627,0.6144880658160373,0.01251193418396268
Mondo Gecko,1910,0.595,0.583049341860435,0.011950658139564974
Improvised Arsenal,3376,0.5670000000000001,0.555382901631696,0.011617098368304046
"Shark Shredder, Killer Clone",3787,0.596,0.5850598151729863,0.010940184827013644
"Armaggon, Future Shark",3977,0.635,0.6242926686354218,0.010707331364578243
Turtle Van,4377,0.595,0.5845568030719012,0.010443196928098808
Buzz Bots,28419,0.595,0.5850992058064495,0.0099007941935505
"Bebop, Warthog Warrior",8504,0.528,0.5183571866515404,0.009642813348459622
"Leonardo, Big Brother",20311,0.5660000000000001,0.5564186430675948,0.00958135693240525
Mechanized Ninja Cavalry,30512,0.586,0.5764227270709495,0.009577272929050418
Mind Transfer Protocol,12832,0.565,0.5554977904854567,0.00950220951454328
West Wind Avatar,10404,0.598,0.5889037455093171,0.009096254490682854
"Jennika, Bad Apple Big Sister",17197,0.561,0.55200419791218,0.008995802087820026
High-Flying Ace,13288,0.562,0.5531418936373937,0.00885810636260631
"Raphael, Tough Turtle",13679,0.556,0.5473808868486731,0.008619113151326907
"Leonardo, Sewer Samurai",1844,0.606,0.59801619176637,0.007983808233629985
"Raph & Mikey, Troublemakers",4112,0.616,0.6080989715139827,0.007901028486017259
Spicy Oatmeal Pizza,11503,0.581,0.5742484729144643,0.0067515270855356135
Turtle Blimp,12247,0.583,0.5763531144456907,0.006646885554309256
"Rat King, Verminister",3965,0.599,0.5927063014025671,0.006293698597432895
"Savanti Romero, Time's Exile",4045,0.609,0.6027325886349183,0.006267411365081688
Ragamuffin Raptor,22949,0.57,0.5640389021720758,0.0059610978279242
"Michelangelo, Weirdness to 11",3622,0.615,0.6093746729220562,0.005625327077943831
Uneasy Alliance,22409,0.578,0.5729359350459455,0.005064064954054426
Chrome Dome,4317,0.603,0.5980066452604509,0.004993354739549094
