name,n_gih,actual_gih_wr,predicted_gih_wr,residual
Innkeeper's Talent,24276.0,0.6251029823694183,0.5597581166422684,0.06534486572714993
Manifold Mouse,15777.0,0.6321860936806744,0.5678362228002649,0.06434987088040944
Hunter's Talent,63530.0,0.6125137730206202,0.550731826554383,0.061781946466237136
"Mabel, Heir to Cragflame",14675.0,0.6392504258943782,0.5780128338595335,0.06123759203484469
Season of Loss,11765.0,0.6559286017849554,0.60341138053829,0.05251722124666536
Dreamdew Entrancer,24288.0,0.6508563899868248,0.6011572548847582,0.04969913510206658
Consumed by Greed,55061.0,0.5869853435280871,0.5403947226518789,0.04659062087620813
"Dragonhawk, Fate's Tempest",8882.0,0.6209187120018014,0.5791921232819663,0.041726588719835034
Shoreline Looter,60169.0,0.6040153567451678,0.5636059680193296,0.04040938872583821
Rabid Gnaw,42738.0,0.582151715101315,0.5443814229919018,0.037770292109413184
Hired Claw,16815.0,0.6024382991376747,0.5646715750686919,0.03776672406898274
"Zoraline, Cosmos Caller",16875.0,0.6208,0.5835077593879235,0.03729224061207648
Kitnap,20541.0,0.5780147023027117,0.5409390963875901,0.0370756059151216
Thought-Stalker Warlock,65483.0,0.6064016614999312,0.5714604262521511,0.034941235247780145
Fell,53105.0,0.5946144430844553,0.5600261563749139,0.034588286709541394
Valley Questcaller,20941.0,0.6398930328064563,0.6054265790638697,0.03446645374258661
Stormchaser's Talent,16660.0,0.5885354141656662,0.5544760034038043,0.03405941076186192
Take Out the Trash,105438.0,0.5672433088639769,0.5341650884428858,0.0330782204210911
Starfall Invocation,15503.0,0.5698896987679803,0.538563860851999,0.031325837915981314
Hop to It,46251.0,0.587641348295172,0.5573024974284237,0.030338850866748257
Treeguard Duo,137983.0,0.5691063391867114,0.5414444785598128,0.02766186062689857
"Glarb, Calamity's Augur",9191.0,0.6126645631596127,0.5854098890212474,0.027254674138365353
Mindwhisker,46686.0,0.5732553656342373,0.5461350560581121,0.027120309576125212
Fireglass Mentor,30483.0,0.577731850539645,0.5514095551997854,0.026322295339859636
Burrowguard Mentor,41544.0,0.6048767571731176,0.5790494265917503,0.025827330581367325
Wandertale Mentor,24043.0,0.5824148400781932,0.5576023185750995,0.024812521503093765
Longstalk Brawl,123144.0,0.5565760410576236,0.532538483697454,0.024037557360169548
"Hugs, Grisly Guardian",4769.0,0.5827217446005452,0.5599394820128367,0.022782262587708435
Ruthless Negotiation,30648.0,0.5810819629339598,0.5584001517910273,0.02268181114293244
Feed the Cycle,53732.0,0.5842328593761632,0.5616442662381523,0.02258859313801087
Dire Downdraft,82114.0,0.5682100494434567,0.5461208013230774,0.022089248120379268
