name,n_gih,actual_gih_wr,predicted_gih_wr,residual
"Mabel, Heir to Cragflame",14675.0,0.6392504258943782,0.5542783304776675,0.08497209541671069
Season of Loss,11765.0,0.6559286017849554,0.5721066275913189,0.08382197419363646
Dreamdew Entrancer,24288.0,0.6508563899868248,0.5686765513573214,0.0821798386295034
Manifold Mouse,15777.0,0.6321860936806744,0.5602821638276856,0.07190392985298877
Valley Questcaller,20941.0,0.6398930328064563,0.5717119653463597,0.06818106746009656
Innkeeper's Talent,24276.0,0.6251029823694183,0.5595119073930014,0.06559107497641692
"Dragonhawk, Fate's Tempest",8882.0,0.6209187120018014,0.560793188410559,0.06012552359124235
Hired Claw,16815.0,0.6024382991376747,0.5501999727434221,0.05223832639425252
Warren Warleader,9935.0,0.6262707599396075,0.5744797910972744,0.05179096884233303
Fecund Greenshell,25716.0,0.6344299268937627,0.5859731411849404,0.04845678570882228
Shoreline Looter,60169.0,0.6040153567451678,0.5559908598906278,0.04802449685454002
Season of the Burrow,9469.0,0.6161157461189144,0.5683640183520653,0.047751727766849106
"Zoraline, Cosmos Caller",16875.0,0.6208,0.5747063943583036,0.0460936056416964
Rabid Gnaw,42738.0,0.582151715101315,0.5376316157579782,0.04452009934333678
"Glarb, Calamity's Augur",9191.0,0.6126645631596127,0.5686876995464856,0.04397686361312714
Kitnap,20541.0,0.5780147023027117,0.5340928896707597,0.04392181263195194
Fell,53105.0,0.5946144430844553,0.5513232951689307,0.043291147915524575
Thought-Stalker Warlock,65483.0,0.6064016614999312,0.5638902771436102,0.04251138435632107
Hunter's Talent,63530.0,0.6125137730206202,0.5719309308701701,0.04058284215045005
Stormchaser's Talent,16660.0,0.5885354141656662,0.5490700416261821,0.03946537253948412
Consumed by Greed,55061.0,0.5869853435280871,0.5487029924692807,0.038282351058806396
"Muerra, Trash Tactician",10179.0,0.577954612437371,0.5422449968047052,0.035709615632665836
"Beza, the Bounding Spring",9709.0,0.6257081058811412,0.5908540105640301,0.034854095317111145
Darkstar Augur,21876.0,0.6057323093801427,0.5714949545528796,0.03423735482726309
Caretaker's Talent,14779.0,0.5844779755057853,0.5502953384249814,0.034182637080803935
"Ral, Crackling Wit",7018.0,0.5970361926474779,0.563672714061689,0.03336347858578892
Dour Port-Mage,21353.0,0.585257340888868,0.5523205736390849,0.03293676724978312
"Gev, Scaled Scorch",13330.0,0.609377344336084,0.5766322847558158,0.03274505958026819
Ruthless Negotiation,30648.0,0.5810819629339598,0.5484390169274574,0.032642946006502305
Azure Beastbinder,20208.0,0.5957541567695962,0.5631337513990197,0.03262040537057653
Savor,151163.0,0.5922348722901768,0.5609538909078106,0.031280981382366235
Wishing Well,2192.0,0.572992700729927,0.5418072018540068,0.03118549887592026
Hop to It,46251.0,0.587641348295172,0.5564794258750935,0.031161922420078536
Downwind Ambusher,63017.0,0.5952838123046162,0.5641511461702441,0.031132666134372156
"Maha, Its Feathers Night",11081.0,0.6330656077971302,0.6023420122136464,0.03072359558348381
Emberheart Challenger,16661.0,0.5784166616649661,0.5478246550810055,0.03059200658396055
Valley Mightcaller,22924.0,0.602076426452626,0.5717560792379981,0.030320347214627952
Season of Gathering,11187.0,0.6060606060606061,0.5767720199913201,0.02928858606928597
Take Out the Trash,105438.0,0.5672433088639769,0.5386845400623642,0.028558768801612677
"Hugs, Grisly Guardian",4769.0,0.5827217446005452,0.5547931726532764,0.02792857194726872
Burrowguard Mentor,41544.0,0.6048767571731176,0.5771722765150682,0.027704480658049424
Valley Flamecaller,16127.0,0.5697277857009984,0.5424511667940158,0.02727661890698252
"Camellia, the Seedmiser",19517.0,0.6091100066608598,0.5820324680386667,0.027077538622193087
Season of Weaving,10548.0,0.6059916571861964,0.5795322277346082,0.02645942945158819
