name,n_gih,actual_gih_wr,predicted_gih_wr,residual
Lumbering Worldwagon,22946.0,0.6532729015950492,0.5751754357248637,0.07809746587018551
"Mu Yanling, Wind Rider",11422.0,0.6515496410436,0.5743329054480742,0.07721673559552578
Perilous Snare,20616.0,0.618500194024059,0.5466276627228881,0.07187253130117088
March of the World Ooze,9984.0,0.629707532051282,0.561288099799371,0.06841943225191105
Howlsquad Heavy,20367.0,0.6149162861491628,0.5535601025837033,0.06135618356545958
Gloryheath Lynx,37982.0,0.5950976778474014,0.5372375993750348,0.05786007847236663
The Aetherspark,11020.0,0.6087114337568058,0.553831595638297,0.05487983811850883
Stock Up,63850.0,0.5935787000783085,0.5399378711781048,0.05364082890020372
Draconautics Engineer,20444.0,0.6164644883584426,0.5637306632449964,0.05273382511344615
"Sab-Sunen, Luxa Embodied",12898.0,0.6749883702899674,0.6267444647626372,0.048243905527330155
Burnout Bashtronaut,17457.0,0.5916824196597353,0.5458458864099134,0.045836533249821954
Possession Engine,23201.0,0.6015688978923323,0.5575508899413419,0.04401800795099031
Gastal Thrillseeker,30537.0,0.5972426891967122,0.5562128160797065,0.04102987311700568
Transit Mage,53293.0,0.5892143433471563,0.5484141076362865,0.04080023571086977
"Far Fortune, End Boss",17281.0,0.5926161680458307,0.5518347738032355,0.04078139424259519
The Speed Demon,10184.0,0.6049685781618225,0.5655490504793078,0.039419527682514666
"Loot, the Pathfinder",10738.0,0.6378282734214937,0.5988773783756002,0.03895089504589355
Rangers' Refueler,59723.0,0.5906769586256551,0.5519297328569381,0.03874722576871692
Thopter Fabricator,22621.0,0.5955528049157862,0.5580251302854095,0.03752767463037676
Riptide Gearhulk,6623.0,0.6261512909557603,0.588934870344679,0.037216420611081324
Riverchurn Monument,24896.0,0.6002169023136247,0.5637473556006503,0.03646954671297442
Agonasaur Rex,22045.0,0.6391471989113178,0.6038324043411344,0.03531479457018338
Veteran Beastrider,33708.0,0.5937759582295005,0.5611432100193601,0.032632748210140394
Mindspring Merfolk,25371.0,0.5940246738402113,0.5639663162307796,0.030058357609431652
Cursecloth Wrappings,22450.0,0.5867706013363029,0.556792107020984,0.02997849431531885
Ride's End,92329.0,0.5732976637892753,0.5442054089940433,0.02909225479523192
Quag Feast,23133.0,0.5788267842476117,0.5504274857346799,0.02839929851293177
Broadside Barrage,41983.0,0.5796155586785128,0.5512779467880015,0.028337611890511316
"Sita Varma, Masked Racer",20311.0,0.5993304120919699,0.5710566085034885,0.028273803588481417
Afterburner Expert,20768.0,0.5876829738058552,0.5598187481050008,0.02786422570085445
"Captain Howler, Sea Scourge",16203.0,0.5879775350243782,0.5610519799565667,0.02692555506781147
Gallant Strike,35869.0,0.5704368674900332,0.5439092998567812,0.026527567633252036
Flood the Engine,130929.0,0.5596850201254114,0.5336696330344171,0.02601538709099438
Spin Out,117726.0,0.5708424647061822,0.5453268292508914,0.025515635455290786
Momentum Breaker,41903.0,0.5663079015822257,0.5409307040310006,0.025377197551225028
"Hazoret, Godseeker",7845.0,0.5753983428935627,0.5503297110125257,0.02506863188103703
Spikeshell Harrier,62100.0,0.5910144927536232,0.5660828623958546,0.024931630357768575
Boommobile,17925.0,0.5824267782426779,0.5576672306162869,0.024759547626390987
Haunt the Network,54632.0,0.5950907892810074,0.5710085770851658,0.024082212195841612
Spectacular Pileup,14716.0,0.5574884479478119,0.534192277707256,0.02329617024055597
Pyrewood Gearhulk,7183.0,0.6071279409717388,0.5840384641554456,0.023089476816293253
District Mascot,19064.0,0.5827738145195133,0.5601190708892736,0.02265474363023967
Embalmed Ascendant,31928.0,0.5928651966925582,0.5702565455500398,0.02260865114251842
Road Rage,37017.0,0.5586082070400087,0.5363056959709828,0.02230251106902592
Guardian Sunmare,15203.0,0.5868578570019075,0.5647765975190517,0.022081259482855775
Carrion Cruiser,43695.0,0.5697219361483007,0.5482750252474229,0.021446910900877802
Grim Bauble,120922.0,0.5735598154182034,0.5524270264885658,0.021132788929637658
Engine Rat,117067.0,0.5773189711874397,0.5562061985994761,0.021112772587963624
Explosive Getaway,10431.0,0.5628415300546448,0.5421038292512373,0.02073770080340742
Wreckage Wickerfolk,137962.0,0.5751873704353373,0.5549323160807164,0.02025505435462094
Greasewrench Goblin,40280.0,0.5727408142999006,0.5533955772038426,0.019345237096058066
Pactdoll Terror,126316.0,0.5739019601633998,0.5552878639434528,0.01861409621994703
Thundering Broodwagon,51028.0,0.609096966371404,0.5905141238107705,0.018582842560633472
Voyager Glidecar,11948.0,0.5645296283896887,0.5460352118818909,0.018494416507797817
"Gonti, Night Minister",21453.0,0.575257539738032,0.5567645122168413,0.01849302752119064
Back on Track,45445.0,0.5759489492793487,0.5583188685524499,0.017630080726898756
Demonic Junker,20399.0,0.5663512917299868,0.5487225279426836,0.01762876378730316
Run Over,128001.0,0.570464293247709,0.553299959218333,0.017164334029376005
Greenbelt Guardian,54355.0,0.5791555514672063,0.5633285642268043,0.01582698724040199
Outpace Oblivion,39668.0,0.5503932640919633,0.5350848115101479,0.015308452581815457
Guidelight Synergist,26956.0,0.5520477815699659,0.5370599872430544,0.014987794326911552
Regal Imperiosaur,20652.0,0.5724869262056944,0.5581648581908917,0.014322068014802736
Push the Limit,12529.0,0.5465719530688802,0.5324417617026334,0.014130191366246825
"Sundial, Dawn Tyrant",31835.0,0.5520025129574367,0.5382216692949354,0.013780843662501319
Debris Beetle,21549.0,0.6110260336906586,0.5972979315178955,0.013728102172763101
"Basri, Tomorrow's Champion",14000.0,0.5715,0.5578661923262715,0.01363380767372846
Marauding Mako,30067.0,0.5599494462367379,0.54632016258076,0.01362928365597793
