name,n_gih,actual_gih_wr,predicted_gih_wr,residual
Lumbering Worldwagon,22946.0,0.6532729015950492,0.5796735628255475,0.07359933876950175
Gloryheath Lynx,37982.0,0.5950976778474014,0.5359574062271969,0.05914027162020452
Stock Up,63850.0,0.5935787000783085,0.5397971228055769,0.053781577272731584
"Mu Yanling, Wind Rider",11422.0,0.6515496410436,0.5980004308997602,0.05354921014383984
Draconautics Engineer,20444.0,0.6164644883584426,0.569906500199708,0.046557988158734576
Howlsquad Heavy,20367.0,0.6149162861491628,0.5689234862352278,0.04599279991393501
Perilous Snare,20616.0,0.618500194024059,0.5750267601749006,0.04347343384915836
March of the World Ooze,9984.0,0.629707532051282,0.5868862056480209,0.042821326403261195
Veteran Beastrider,33708.0,0.5937759582295005,0.5536353319380273,0.04014062629147319
Rangers' Refueler,59723.0,0.5906769586256551,0.5513269247086795,0.03935003391697556
Transit Mage,53293.0,0.5892143433471563,0.5512986061096828,0.037915737237473435
Possession Engine,23201.0,0.6015688978923323,0.5644683742340857,0.037100523658246565
Thopter Fabricator,22621.0,0.5955528049157862,0.5611843816836087,0.03436842323217748
Gastal Thrillseeker,30537.0,0.5972426891967122,0.5633550462346409,0.03388764296207125
Agonasaur Rex,22045.0,0.6391471989113178,0.6058017502222898,0.033345448689028
Ride's End,92329.0,0.5732976637892753,0.5401830824856322,0.03311458130364309
"Sab-Sunen, Luxa Embodied",12898.0,0.6749883702899674,0.6423220938050017,0.03266627648496567
Flood the Engine,130929.0,0.5596850201254114,0.5288058617172596,0.030879158408151808
Haunt the Network,54632.0,0.5950907892810074,0.5657036970681203,0.029387092212887156
Riverchurn Monument,24896.0,0.6002169023136247,0.5712400449958078,0.02897685731781685
"Far Fortune, End Boss",17281.0,0.5926161680458307,0.5637840342448209,0.028832133801009796
Momentum Breaker,41903.0,0.5663079015822257,0.5390950895706272,0.02721281201159842
Burnout Bashtronaut,17457.0,0.5916824196597353,0.5647697322507321,0.02691268740900321
Cursecloth Wrappings,22450.0,0.5867706013363029,0.5604116386103596,0.02635896272594329
"Loot, the Pathfinder",10738.0,0.6378282734214937,0.6129935218763314,0.024834751545162348
Road Rage,37017.0,0.5586082070400087,0.5338409551517367,0.024767251888272
The Aetherspark,11020.0,0.6087114337568058,0.5845994073732305,0.024112026383575347
Greasewrench Goblin,40280.0,0.5727408142999006,0.5486862050965321,0.02405460920336855
Spikeshell Harrier,62100.0,0.5910144927536232,0.567133204976965,0.02388128777665821
Quag Feast,23133.0,0.5788267842476117,0.5550535769265571,0.02377320732105459
Broadside Barrage,41983.0,0.5796155586785128,0.5566914476897445,0.02292411098876823
Gallant Strike,35869.0,0.5704368674900332,0.5480091311930534,0.022427736296979806
Run Over,128001.0,0.570464293247709,0.5483168713794815,0.02214742186822749
Mindspring Merfolk,25371.0,0.5940246738402113,0.572084546771917,0.02194012706829429
Embalmed Ascendant,31928.0,0.5928651966925582,0.5710828416830148,0.021782355009543397
"Gonti, Night Minister",21453.0,0.575257539738032,0.5536605596991457,0.021596980038886215
Thundering Broodwagon,51028.0,0.609096966371404,0.5876436742343636,0.02145329213704039
Engine Rat,117067.0,0.5773189711874397,0.5560220196348765,0.02129695155256317
Outpace Oblivion,39668.0,0.5503932640919633,0.5296833422110232,0.02070992188094012
Spin Out,117726.0,0.5708424647061822,0.5506402764919411,0.020202188214241024
Back on Track,45445.0,0.5759489492793487,0.5559132867003794,0.02003566257896927
Voyager Quickwelder,48517.0,0.5526310365438918,0.5333368648093239,0.019294171734567933
Explosive Getaway,10431.0,0.5628415300546448,0.5436187899051772,0.019222740149467565
Marauding Mako,30067.0,0.5599494462367379,0.5409512232067916,0.01899822302994636
Spectral Interference,78248.0,0.5613945404355383,0.5430187627881828,0.01837577764735543
Grim Bauble,120922.0,0.5735598154182034,0.5552384901248936,0.018321325293309876
"Captain Howler, Sea Scourge",16203.0,0.5879775350243782,0.5700516109925113,0.01792592403186688
Starting Column,54772.0,0.5415540787263565,0.5239159368761626,0.017638141850193967
Greenbelt Guardian,54355.0,0.5791555514672063,0.5616368812155627,0.017518670251643664
Boommobile,17925.0,0.5824267782426779,0.564920669480894,0.017506108761783823
Guardian Sunmare,15203.0,0.5868578570019075,0.5693594607482472,0.017498396253660342
Pactdoll Terror,126316.0,0.5739019601633998,0.5566528344623779,0.017249125701021883
Wreckage Wickerfolk,137962.0,0.5751873704353373,0.5584751267882898,0.016712243647047487
Riptide Gearhulk,6623.0,0.6261512909557603,0.6094580066834341,0.016693284272326192
The Speed Demon,10184.0,0.6049685781618225,0.5884055164872991,0.01656306167452337
Beastrider Vanguard,118112.0,0.5614247493904091,0.5448894954304204,0.01653525395998867
Stampeding Scurryfoot,144723.0,0.5842333284965071,0.5681170389969514,0.01611628949955568
Carrion Cruiser,43695.0,0.5697219361483007,0.5538430203990025,0.015878915749298228
Oildeep Gearhulk,6862.0,0.584377732439522,0.5685638298134719,0.01581390262605009
Fang Guardian,46196.0,0.5632089358386008,0.5474118305825169,0.01579710525608391
Thunderhead Gunner,107870.0,0.5590340224344118,0.5432807883491598,0.015753234085251977
Memory Guardian,37655.0,0.5625813305005976,0.5470174967844459,0.015563833716151665
Spectacular Pileup,14716.0,0.5574884479478119,0.542778219050861,0.01471022889695095
"Sita Varma, Masked Racer",20311.0,0.5993304120919699,0.5848450583051913,0.01448535378677862
Pyrewood Gearhulk,7183.0,0.6071279409717388,0.592851269963557,0.014276671008181863
Push the Limit,12529.0,0.5465719530688802,0.5323614670855017,0.014210485983378485
Guidelight Synergist,26956.0,0.5520477815699659,0.5379353932618259,0.01411238830813999
Afterburner Expert,20768.0,0.5876829738058552,0.5735799770661119,0.014102996739743356
"Sundial, Dawn Tyrant",31835.0,0.5520025129574367,0.5383454239704102,0.013657088987026555
Clamorous Ironclad,51555.0,0.5343225681311221,0.5207760038159359,0.013546564315186194
Debris Beetle,21549.0,0.6110260336906586,0.5979282262109901,0.013097807479668488
Maximum Overdrive,75967.0,0.5604275540695302,0.5477774095987694,0.012650144470760738
Broadcast Rambler,69368.0,0.5604601545381156,0.5478309395108123,0.012629215027303298
Marketback Walker,19753.0,0.5656862248772339,0.5536929760688879,0.011993248808345958
Guidelight Pathmaker,32184.0,0.5673315933383047,0.5553894308354219,0.011942162502882825
Silken Strength,25678.0,0.5459147908715632,0.5341502562048579,0.01176453466670535
Scrounging Skyray,36184.0,0.560330532832191,0.5490413592248836,0.011289173607307412
Voyager Glidecar,11948.0,0.5645296283896887,0.5532842822931635,0.011245346096525166
Skystreak Engineer,109262.0,0.5562409620911204,0.5458768508905054,0.010364111200614978
Swiftwing Assailant,24592.0,0.5319209499024072,0.5216539664476585,0.010266983454748746
Intimidation Tactics,23939.0,0.5498141108651156,0.5399284252993046,0.009885685565810931
Howler's Heavy,74006.0,0.5491176391103424,0.5394494000556727,0.009668239054669736
Skyserpent Seeker,48499.0,0.5884038846161777,0.5788355644245416,0.009568320191636004
"Basri, Tomorrow's Champion",14000.0,0.5715,0.5619814989454271,0.009518501054572859
Autarch Mammoth,51803.0,0.5809702140802656,0.5714943053794144,0.009475908700851243
Demonic Junker,20399.0,0.5663512917299868,0.5569690973567486,0.009382194373238173
Dredger's Insight,39129.0,0.5704720284188198,0.5617061890863024,0.0087658393325174
Detention Chariot,31648.0,0.5588030839231547,0.5502235208335228,0.008579563089631925
Walking Sarcophagus,44845.0,0.5305608206043038,0.5223077416714073,0.008253078932896507
Canyon Vaulter,27463.0,0.5470269089320177,0.5388828575986996,0.00814405133331808
Trip Up,65418.0,0.5438258583264545,0.5357262485380713,0.0080996097883832
Marshals' Pathcruiser,45443.0,0.5877912989899434,0.5798724027992558,0.007918896190687641
Pit Automaton,24046.0,0.5391749147467354,0.5315526344784426,0.007622280268292814
Aether Syphon,40694.0,0.5565931095493193,0.5490549689022978,0.007538140647021518
Keen Buccaneer,107729.0,0.5494992063418392,0.5422266995167848,0.007272506825054426
Endrider Catalyzer,58672.0,0.5357581128988274,0.5287506713815715,0.007007441517255852
Roadside Blowout,51696.0,0.560662333642835,0.5537482607480911,0.006914072894743883
Bestow Greatness,56564.0,0.5571211371190157,0.5504812406108567,0.006639896508158993
Jibbirik Omnivore,97873.0,0.5506319413934384,0.5441585728314825,0.006473368561955906
Diversion Unit,46167.0,0.5560681872333052,0.5498216830341119,0.006246504199193259
Fang-Druid Summoner,41044.0,0.5754068804210116,0.5696921816878981,0.005714698733113477
"Terrian, World Tyrant",42424.0,0.564963228361305,0.5595646188846367,0.005398609476668259
Hulldrifter,73154.0,0.5513847499794953,0.5461176137013366,0.005267136278158668
Voyage Home,29426.0,0.5619180316726704,0.5569857486810063,0.00493228299166415
Bounce Off,93895.0,0.5576122264231322,0.5527920510298809,0.0048201753932513025
Pothole Mole,120140.0,0.563800566006326,0.5591979606366915,0.004602605369634527
Nesting Bot,24102.0,0.5598705501618123,0.5554521474204026,0.004418402741409699
Mutant Surveyor,72807.0,0.5433131429670224,0.5390897430057506,0.0042233999612717454
Dracosaur Auxiliary,27121.0,0.5445964381844327,0.5406515602168865,0.003944877967546168
Midnight Mangler,73510.0,0.5386614066113454,0.5347931368832995,0.003868269728045881
Veloheart Bike,85726.0,0.5550358117723911,0.5517066881120826,0.003329123660308575
Skyseer's Chariot,10131.0,0.5499950646530452,0.5467281703271073,0.0032668943259378525
Molt Tender,50656.0,0.5714031901452937,0.5683177259968619,0.0030854641484318046
District Mascot,19064.0,0.5827738145195133,0.5799306494208664,0.002843165098646905
"Hazoret, Godseeker",7845.0,0.5753983428935627,0.5727374138150728,0.0026609290784899153
Rocketeer Boostbuggy,27825.0,0.5620844564240791,0.5600579856856576,0.0020264707384215486
Risky Shortcut,37286.0,0.5457007992275921,0.5437429356606699,0.00195786356692218
Boosted Sloop,28062.0,0.5372746062290642,0.5354344582108631,0.0018401480182010932
Skycrash,29718.0,0.5462682549296722,0.5444834084575403,0.0017848464721319512
Plow Through,40214.0,0.5506788680559009,0.5493929772747995,0.0012858907811014175
Scrap Compactor,70329.0,0.5373885594847075,0.53635120321944,0.001037356265267575
Gastal Raider,33557.0,0.5527907739070834,0.5522423450949063,0.000548428812177093
Nimble Thopterist,92183.0,0.5517177787661499,0.5512865952076159,0.0004311835585339985
Fuel the Flames,13339.0,0.5354974135992203,0.5350760698603771,0.0004213437388431718
Venomsac Lagac,114183.0,0.5573334033963024,0.557177927516308,0.0001554758799944267
Bulwark Ox,13155.0,0.5562143671607753,0.5562153106786235,-9.435178481842499e-07
Regal Imperiosaur,20652.0,0.5724869262056944,0.5727248703188883,-0.00023794411319388864
Fearless Swashbuckler,11934.0,0.5512820512820513,0.5515780560434109,-0.00029600476135960285
"Samut, the Driving Force",9617.0,0.5618176146407403,0.5622815143466459,-0.0004638997059055461
Dune Drifter,22436.0,0.5405152433588875,0.5411077891317075,-0.0005925457728200856
Gastal Thrillroller,14187.0,0.5571297666878128,0.557770156155196,-0.0006403894673832067
Broodheart Engine,42300.0,0.5647281323877068,0.5654113321661198,-0.0006831997784130239
Sabotage Strategist,36223.0,0.5448471965325898,0.5455469779164115,-0.0006997813838216516
Webstrike Elite,20450.0,0.571442542787286,0.5724768052897571,-0.0010342625024710728
Guidelight Optimizer,84128.0,0.5426611829593001,0.5438460982625742,-0.0011849153032741366
Tune Up,12412.0,0.5283596519497261,0.5295999507529046,-0.0012402988031784412
"Tyrox, Saurid Tyrant",17845.0,0.5330905015410479,0.5351051992194324,-0.0020146976783845805
"Caradora, Heart of Alacria",12655.0,0.5781904385618333,0.5802679859376924,-0.002077547375859079
Streaking Oilgorger,43042.0,0.5391013428744017,0.5413401786766668,-0.002238835802265138
Hour of Victory,32046.0,0.5521125881545279,0.5548258875413243,-0.0027132993867964306
Loxodon Surveyor,62074.0,0.5358926442632986,0.5388753558733463,-0.002982711610047706
Broken Wings,73273.0,0.5482647086921513,0.5514470773842428,-0.0031823686920915417
Collision Course,52455.0,0.5395481841578496,0.5429718478808473,-0.0034236637229977385
Guidelight Matrix,19704.0,0.5334449857896874,0.5369695129729211,-0.0035245271832337055
Shefet Archfiend,22568.0,0.5513559021623538,0.5561722971106672,-0.004816394948313429
"Lagorin, Soul of Alacria",22952.0,0.5525008713837574,0.5574503563511953,-0.004949484967437967
"Aatchik, Emerald Radian",18885.0,0.5806195393169182,0.585774799820164,-0.005155260503245773
Brightfield Glider,22728.0,0.5267511439633932,0.5322994311361713,-0.00554828717277811
Leonin Surveyor,45129.0,0.5231004453898823,0.5292009700352123,-0.006100524645329952
Chitin Gravestalker,49607.0,0.5360533795633681,0.5422103437304076,-0.00615696416703948
Defend the Rider,34587.0,0.5531847225836297,0.5595190373701657,-0.0063343147865360105
Wretched Doll,41850.0,0.5491278375149343,0.5554879946179017,-0.006360157102967334
Elvish Refueler,44086.0,0.5506963661933494,0.5571378518627522,-0.0064414856694028355
Camera Launcher,45785.0,0.5342142623129846,0.5407012149779931,-0.0064869526650084275
Pedal to the Metal,19689.0,0.5114023058560617,0.5179285579880871,-0.006526252132025401
Hellish Sideswipe,30593.0,0.5413002974536659,0.5479742414588098,-0.0066739440051438725
Brightglass Gearhulk,4631.0,0.6061325847549125,0.612902733042936,-0.00677014828802347
Waxen Shapethief,14065.0,0.5257731958762887,0.5326050070746556,-0.006831811198366955
The Last Ride,5661.0,0.525172231054584,0.5321688315909019,-0.0069966005363178985
Syphon Fuel,66905.0,0.544697705702115,0.5518308133073098,-0.007133107605194811
Migrating Ketradon,135078.0,0.5717881520306786,0.5789655502827232,-0.007177398252044664
Cloudspire Coordinator,14230.0,0.5456078706957133,0.5531470602506023,-0.007539189554889081
Lotusguard Disciple,33980.0,0.5291347851677457,0.5368259707456439,-0.007691185577898163
Burner Rocket,22604.0,0.5141125464519554,0.522252100263148,-0.00813955381119258
Crash and Burn,82587.0,0.5340671049923111,0.5422133908989439,-0.0081462859066328
Lightshield Parry,12114.0,0.5166749215783392,0.5254164481644201,-0.008741526586080961
Rise from the Wreck,27918.0,0.5356759080163336,0.5445094270903823,-0.008833519074048723
Earthrumbler,43172.0,0.5527425182988974,0.561874081338002,-0.009131563039104562
Ticket Tortoise,38449.0,0.5324715857369502,0.5418961510477271,-0.009424565310776956
Grim Javelineer,53027.0,0.5425160767156354,0.5524555991686209,-0.009939522452985461
Dynamite Diver,27737.0,0.5281032555791902,0.538296430927618,-0.010193175348427785
Gas Guzzler,15525.0,0.5661191626409018,0.5765970666163401,-0.010477903975438352
Deathless Pilot,60556.0,0.5333740669793249,0.5440826945381187,-0.01070862755879387
Gilded Ghoda,60703.0,0.5265802349142547,0.5375417509883144,-0.010961516074059707
Aetherjacket,27739.0,0.5095713616208226,0.5208830852687059,-0.011311723647883243
Apocalypse Runner,15997.0,0.5330999562417953,0.5444624823758133,-0.011362526134018003
Unswerving Sloth,17469.0,0.5291659511134009,0.5407621615128226,-0.011596210399421714
Hazard of the Dunes,128227.0,0.5657778782939631,0.5775240772526458,-0.011746198958682674
"Caelorna, Coral Tyrant",13504.0,0.5339899289099526,0.545877892534513,-0.01188796362456046
"Zahur, Glory's Past",11063.0,0.5701889180150049,0.5823640779628465,-0.012175159947841574
Coalstoke Gearhulk,5087.0,0.5517987025751917,0.5641356710403421,-0.012336968465150422
Roadside Assistance,10057.0,0.5271949885651784,0.5400468900613923,-0.012851901496213847
Kickoff Celebrations,32549.0,0.5136870564379858,0.5265765977313592,-0.012889541293373385
Pride of the Road,18234.0,0.5210595590654821,0.5342132943618907,-0.01315373529640862
Valor's Flagship,6760.0,0.5655325443786983,0.5790688196182037,-0.013536275239505402
Air Response Unit,12131.0,0.5129832660126947,0.5265493437532089,-0.013566077740514215
Skybox Ferry,18358.0,0.5059919381196208,0.5197792088829478,-0.013787270763326975
"Mendicant Core, Guidelight",12759.0,0.5625832745512971,0.5764679684135083,-0.01388469386221125
Wreck Remover,28359.0,0.5249479882929582,0.5391467342202779,-0.014198745927319734
Locust Spray,15274.0,0.5298546549692288,0.5448378876346203,-0.014983232665391477
"Winter, Cursed Rider",12801.0,0.554253573939536,0.5693238947465543,-0.015070320807018311
Endrider Spikespitter,31389.0,0.5263945968332856,0.5415606230756983,-0.0151660262424127
Monument to Endurance,10862.0,0.5146381881789726,0.5307714201308811,-0.016133231951908522
Risen Necroregent,34960.0,0.5373855835240274,0.5539929820991277,-0.016607398575100296
Gearseeker Serpent,44114.0,0.5219431473001768,0.5388257977941029,-0.01688265049392612
"Chandra, Spark Hunter",10022.0,0.5810217521452804,0.5982851329602777,-0.017263380814997342
Ooze Patrol,26667.0,0.544230697116286,0.5618098528954301,-0.01757915577914404
Rangers' Aetherhive,34916.0,0.5443063352044908,0.5621253033792588,-0.017818968174768024
Spotcycle Scouter,15430.0,0.512248865845755,0.5307365128739319,-0.018487647028176846
Prowcatcher Specialist,54775.0,0.5211319032405295,0.5397028644847905,-0.018570961244261053
"Redshift, Rocketeer Chief",9001.0,0.5416064881679813,0.5604388955507921,-0.01883240738281078
Goblin Surveyor,35080.0,0.516448118586089,0.5356267391278571,-0.01917862054176811
Salvation Engine,7061.0,0.5509134683472596,0.5701425626422197,-0.019229094294960114
Thunderous Velocipede,9239.0,0.5747375257062453,0.5942487513699212,-0.019511225663675913
Daring Mechanic,24992.0,0.5101232394366197,0.5304998534495357,-0.020376614012915906
Boom Scholar,26905.0,0.5324660843709348,0.5532561471198374,-0.020790062748902605
Cloudspire Captain,19858.0,0.5175747809447074,0.5387837316492337,-0.02120895070452622
Lightwheel Enhancements,6206.0,0.4896873992910087,0.5118341894925886,-0.022146790201579947
Haunted Hellride,21621.0,0.5286989500948153,0.5518402905996748,-0.023141340504859498
Glitch Ghost Surveyor,29533.0,0.5094978498628653,0.5327085658788214,-0.023210716015956145
Brightfield Mustang,18433.0,0.501980144306407,0.5257649756885974,-0.02378483138219034
"Kalakscion, Hunger Tyrant",11179.0,0.516861973342875,0.542022185665206,-0.02516021232233101
Adrenaline Jockey,18517.0,0.5099638170329968,0.5357028032811958,-0.025738986248199036
Magmakin Artillerist,39241.0,0.504293978237048,0.5308858957184115,-0.02659191748136347
Ripclaw Wrangler,13490.0,0.5122312824314307,0.5390384715233059,-0.026807189091875183
Slick Imitator,23887.0,0.5199062251433835,0.5472085759354788,-0.02730235079209531
Pacesetter Paragon,20835.0,0.5151427885769139,0.5427944664344485,-0.02765167785753464
"Vnwxt, Verbose Host",14306.0,0.5350202712148748,0.5636768579629396,-0.028656586748064816
Interface Ace,24890.0,0.4956609079951788,0.5243383786822474,-0.028677470687068607
Trade the Helm,18217.0,0.5139704671460723,0.5433665709996082,-0.02939610385353586
Alacrian Jaguar,23149.0,0.5033046783878353,0.5330710490583164,-0.029766370670481046
Gastal Blockbuster,21925.0,0.5082326111744584,0.5390688746510788,-0.030836263476620385
Lifecraft Engine,9122.0,0.5164437623328217,0.5477964889817256,-0.03135272664890387
"Oviya, Automech Artisan",7262.0,0.5298815753236024,0.5619526643862744,-0.03207108906267209
Count on Luck,3318.0,0.49306811332127787,0.5266492100883239,-0.033581096767046015
Reckless Velocitaur,8252.0,0.49139602520601067,0.5254694994155654,-0.034073474209554755
Cloudspire Skycycle,13305.0,0.501315295001879,0.5373305269994215,-0.03601523199754253
"Kolodin, Triumph Caster",6495.0,0.5119322555812164,0.548841463522064,-0.03690920794084762
Rover Blades,10704.0,0.4953288490284006,0.5325746181365554,-0.0372457691081548
Cryptcaller Chariot,10784.0,0.5164132047477745,0.5559949122846424,-0.03958170753686785
"Mimeoplasm, Revered One",3987.0,0.5028843742162027,0.5431321505885494,-0.040247776372346666
Wickerfolk Indomitable,10940.0,0.49716636197440583,0.5384392197071247,-0.04127285773271888
Spire Mechcycle,17371.0,0.49858960336192504,0.5413552393623272,-0.042765636000402174
Racers' Scoreboard,2339.0,0.4805472424112869,0.5238753023583006,-0.04332805994701372
"Daretti, Rocketeer Engineer",6284.0,0.5232336091661363,0.5679237756836124,-0.04469016651747615
Spell Pierce,2650.0,0.4962264150943396,0.5449964692272757,-0.048770054132936114
Stall Out,19750.0,0.48850632911392405,0.5374240002012165,-0.04891767108729245
"Ketramose, the New Dawn",511.0,0.4794520547945205,0.5329805936595935,-0.05352853886507297
Alacrian Armory,5521.0,0.4669443941314979,0.5265427944696651,-0.05959840033816721
