name,n_gih,actual_gih_wr,predicted_gih_wr,residual
Unholy Annex // Ritual Chamber,28465.0,0.6474969260495346,0.5475983909577562,0.09989853509177837
"Tyvar, the Pummeler",13749.0,0.6309549785438942,0.5462131046165862,0.08474187392730792
Valgavoth's Onslaught,33220.0,0.6583082480433474,0.5760966295793193,0.08221161846402814
Dollmaker's Shop // Porcelain Gallery,13187.0,0.6260711306589823,0.5511638857905206,0.07490724486846179
Unstoppable Slasher,26911.0,0.6156590241908513,0.5416643370065629,0.07399468718428837
Dissection Tools,33488.0,0.6232381748686097,0.5569073119980995,0.06633086287051015
The Swarmweaver,30631.0,0.6459469165224773,0.5832067862938494,0.0627401302286279
Overlord of the Boilerbilges,14424.0,0.6413616195230172,0.5796392678772131,0.061722351645804086
Screaming Nemesis,14329.0,0.6178379510084444,0.5570084725221424,0.06082947848630205
Overlord of the Mistmoors,14182.0,0.6823438161049218,0.6221030669861694,0.060240749118752435
Entity Tracker,30868.0,0.6179862640922639,0.5584984531040249,0.059487810988238965
Ghostly Dancers,28082.0,0.6445053771098924,0.5866320776237429,0.0578732994861495
Unidentified Hovership,24535.0,0.6105563480741797,0.5532745790782205,0.05728176899595916
Overlord of the Balemurk,12891.0,0.6201225661314095,0.5642509902012413,0.05587157593016823
Roaring Furnace // Steaming Sauna,27573.0,0.6025459688826026,0.5503289016275847,0.052217067255017846
Oblivious Bookworm,73275.0,0.6050631183896281,0.5533876302891563,0.051675488100471845
Optimistic Scavenger,63369.0,0.605800943679086,0.5549146117200684,0.050886331959017594
Chainsaw,28924.0,0.6004356243949661,0.5508300920448904,0.0496055323500757
Overlord of the Floodpits,14418.0,0.6298377028714107,0.5809142967936302,0.04892340607778056
Enduring Curiosity,28132.0,0.6050049765391725,0.5570367001258858,0.047968276413286715
Silent Hallcreeper,29820.0,0.6053319919517103,0.5588702728134091,0.046461719138301216
Unnerving Grasp,86114.0,0.6060222495761433,0.5651049563015399,0.04091729327460336
Fear of Isolation,77848.0,0.5944147569622855,0.5553172844793305,0.03909747248295503
Under the Skin,79570.0,0.6014578358677893,0.5635343060119754,0.03792352985581393
"Arabella, Abandoned Doll",51393.0,0.5918510302959546,0.5546404341176623,0.037210596178292366
Enduring Innocence,24228.0,0.5978619778768367,0.5615151259444225,0.03634685193241416
Disturbing Mirth,50844.0,0.5999921327983636,0.5639923635831723,0.035999769215191324
The Rollercrusher Ride,15833.0,0.6053811659192825,0.5698960645317056,0.03548510138757688
Abhorrent Oculus,14028.0,0.5959509552323924,0.5605790528587096,0.03537190237368282
The Wandering Rescuer,11090.0,0.5878268710550045,0.5532771102180746,0.034549760836929955
Fear of Missing Out,28900.0,0.5990657439446366,0.5653351981987802,0.03373054574585643
Floodpits Drowner,82442.0,0.5895053492152058,0.5569750352537578,0.03253031396144801
Patchwork Beastie,65901.0,0.5791717879850078,0.5468230775033099,0.03234871048169785
Splitskin Doll,66188.0,0.5891098084244878,0.5568163028436572,0.03229350558083055
Betrayer's Bargain,73855.0,0.5787150497596643,0.5482235682227612,0.030491481536903065
"Kaito, Bane of Nightmares",9596.0,0.5832638599416423,0.5528515347323035,0.030412325209338786
Broodspinner,61551.0,0.5960260596903381,0.566949729120477,0.02907633056986103
"Toby, Beastie Befriender",25942.0,0.6167219181250482,0.5876993914141934,0.029022526710854812
Balustrade Wurm,26584.0,0.5864805898284683,0.5595772526304441,0.02690333719802418
Bottomless Pool // Locker Room,68156.0,0.5762075239157227,0.5495272068692858,0.02668031704643692
Surgical Suite // Hospital Room,52151.0,0.5747157293244617,0.5496582158559318,0.025057513468529913
Drag to the Roots,49967.0,0.5710368843436668,0.5460037697045806,0.025033114639086196
Midnight Mayhem,54149.0,0.6114794363700161,0.5864492098121785,0.025030226557837598
Painter's Studio // Defaced Gallery,66670.0,0.5737813109344533,0.5490017269400003,0.024779583994453014
"Stay Hidden, Stay Silent",76876.0,0.587439512981945,0.5627463007468924,0.02469321223505261
Ghost Vacuum,23257.0,0.5655071591348841,0.5417779414117702,0.023729217723113982
Nowhere to Run,56679.0,0.5784858589601087,0.5553387885133746,0.02314707044673414
Split Up,18441.0,0.5763787213274768,0.5532780199885778,0.023100701338898966
Ethereal Armor,46461.0,0.5737930737607886,0.551293851173411,0.022499222587377576
Trapped in the Screen,144918.0,0.5741660801280725,0.5518053925167021,0.022360687611370333
Vanish from Sight,122168.0,0.5672843952589877,0.5450038388491476,0.022280556409840058
Wildfire Wickerfolk,53137.0,0.5881212714304533,0.5660454754843838,0.022075795946069565
Glassworks // Shattered Yard,162804.0,0.5721665315348518,0.5504151236556503,0.02175140787920149
Commune with Evil,33381.0,0.5678679488331686,0.5470138219272109,0.02085412690595767
Final Vengeance,115465.0,0.5676352141341532,0.5470957293284877,0.020539484805665476
