name,n_gih,actual_gih_wr,predicted_gih_wr,residual
Unholy Annex // Ritual Chamber,28465.0,0.6474969260495346,0.5412922062788215,0.10620471977071311
Valgavoth's Onslaught,33220.0,0.6583082480433474,0.5864791996789457,0.07182904836440174
Unstoppable Slasher,26911.0,0.6156590241908513,0.5458238606088646,0.06983516358198671
Ghostly Dancers,28082.0,0.6445053771098924,0.5820048381207031,0.06250053898918928
Dollmaker's Shop // Porcelain Gallery,13187.0,0.6260711306589823,0.5647527489468351,0.06131838171214721
"Tyvar, the Pummeler",13749.0,0.6309549785438942,0.5703549398089102,0.060600038734983985
The Swarmweaver,30631.0,0.6459469165224773,0.5867278069352392,0.059219109587238083
Dissection Tools,33488.0,0.6232381748686097,0.5706418461883962,0.05259632868021347
Entity Tracker,30868.0,0.6179862640922639,0.5663533150242852,0.05163294906797866
Unidentified Hovership,24535.0,0.6105563480741797,0.5591940674662489,0.0513622806079308
Oblivious Bookworm,73275.0,0.6050631183896281,0.5546871949722535,0.050375923417374624
Roaring Furnace // Steaming Sauna,27573.0,0.6025459688826026,0.5527661339668407,0.04977983491576188
Overlord of the Mistmoors,14182.0,0.6823438161049218,0.6328349873193642,0.049508828785557624
Optimistic Scavenger,63369.0,0.605800943679086,0.5591184173152195,0.046682526363866494
Chainsaw,28924.0,0.6004356243949661,0.5546628912845445,0.045772733110421626
Enduring Curiosity,28132.0,0.6050049765391725,0.562747100370457,0.04225787616871546
Fear of Isolation,77848.0,0.5944147569622855,0.5542128868172552,0.040201870145030294
Overlord of the Boilerbilges,14424.0,0.6413616195230172,0.6014820302457823,0.039879589277234895
Overlord of the Balemurk,12891.0,0.6201225661314095,0.5814504614517116,0.03867210467969784
Unnerving Grasp,86114.0,0.6060222495761433,0.568020454872894,0.03800179470324927
Disturbing Mirth,50844.0,0.5999921327983636,0.5634419847142262,0.03655014808413737
Screaming Nemesis,14329.0,0.6178379510084444,0.5818054562332855,0.03603249477515891
Under the Skin,79570.0,0.6014578358677893,0.5661654939207541,0.03529234194703523
"Arabella, Abandoned Doll",51393.0,0.5918510302959546,0.556953519796636,0.03489751049931866
Silent Hallcreeper,29820.0,0.6053319919517103,0.5712563729000715,0.034075619051638806
Patchwork Beastie,65901.0,0.5791717879850078,0.547136975030004,0.032034812955003766
Trapped in the Screen,144918.0,0.5741660801280725,0.5437305548151622,0.030435525312910272
Betrayer's Bargain,73855.0,0.5787150497596643,0.5486176861396448,0.03009736362001947
Broodspinner,61551.0,0.5960260596903381,0.5668103793521277,0.029215680338210315
Splitskin Doll,66188.0,0.5891098084244878,0.5601058115822601,0.029003996842227653
Unable to Scream,173743.0,0.5693869681080677,0.5403909460493601,0.02899602205870755
Glassworks // Shattered Yard,162804.0,0.5721665315348518,0.5433331505730465,0.02883338096180521
Midnight Mayhem,54149.0,0.6114794363700161,0.5826840534778626,0.028795382892153554
Floodpits Drowner,82442.0,0.5895053492152058,0.5608473799012182,0.028657969313987564
Fear of Missing Out,28900.0,0.5990657439446366,0.5710868232846816,0.027978920659954998
Bottomless Pool // Locker Room,68156.0,0.5762075239157227,0.5488330659457263,0.02737445796999638
"Toby, Beastie Befriender",25942.0,0.6167219181250482,0.5900292281816032,0.02669268994344498
Final Vengeance,115465.0,0.5676352141341532,0.5410183645609258,0.026616849573227408
Overlord of the Floodpits,14418.0,0.6298377028714107,0.603466644387767,0.02637105848364374
Enduring Innocence,24228.0,0.5978619778768367,0.5715310282080964,0.026330949668740278
Vanish from Sight,122168.0,0.5672843952589877,0.5416590986542071,0.025625296604780523
Painter's Studio // Defaced Gallery,66670.0,0.5737813109344533,0.5485632705190034,0.02521804041544984
Surgical Suite // Hospital Room,52151.0,0.5747157293244617,0.5495051619884715,0.02521056733599014
"Stay Hidden, Stay Silent",76876.0,0.587439512981945,0.5629552849888945,0.0244842279930505
Nowhere to Run,56679.0,0.5784858589601087,0.5540993037169111,0.02438655524319766
Drag to the Roots,49967.0,0.5710368843436668,0.5468021537210614,0.024234730622605394
Ethereal Armor,46461.0,0.5737930737607886,0.5501305704787157,0.023662503282072866
Balustrade Wurm,26584.0,0.5864805898284683,0.5640514721176169,0.02242911771085143
Spineseeker Centipede,168634.0,0.5736091179714649,0.5527070318886026,0.02090208608286226
The Rollercrusher Ride,15833.0,0.6053811659192825,0.5845998169304492,0.020781348988833326
Fear of Burning Alive,63776.0,0.5767843702960361,0.5562833918003914,0.020500978495644695
Slavering Branchsnapper,96811.0,0.5419735360651166,0.5215013298695488,0.020472206195567777
Wildfire Wickerfolk,53137.0,0.5881212714304533,0.5690177843871385,0.019103487043314882
Commune with Evil,33381.0,0.5678679488331686,0.5489732533287823,0.018894695504386272
Clockwork Percussionist,169498.0,0.5707736964447958,0.5519877031001457,0.018785993344650143
Split Up,18441.0,0.5763787213274768,0.5580389091246056,0.018339812202871175
Irreverent Gremlin,73190.0,0.5750922257138953,0.5569841868908623,0.018108038823033024
Vengeful Possession,36130.0,0.5723775256019928,0.5546378279671512,0.017739697634841622
Seized from Slumber,96048.0,0.5620627186406797,0.5443468499987413,0.017715868641938415
Threats Around Every Corner,65524.0,0.5829009217996459,0.5651955653221097,0.017705356477536238
Sporogenic Infection,43863.0,0.5606775642340925,0.543064728983762,0.017612835250330527
Turn Inside Out,125689.0,0.5684268313058422,0.5508901724905375,0.01753665881530464
Gremlin Tamer,62112.0,0.5990951828954147,0.5816245518139607,0.01747063108145408
Ghost Vacuum,23257.0,0.5655071591348841,0.5482684011553657,0.01723875797951846
Come Back Wrong,20562.0,0.5637583892617449,0.5468352259534026,0.016923163308342315
Monstrous Emergence,139525.0,0.5627736964701666,0.5462257928446776,0.01654790362548897
Say Its Name,117026.0,0.5546374309982397,0.5380986226904388,0.016538808307800856
Inquisitive Glimmer,51161.0,0.5734641621547664,0.5574979211597175,0.01596624099504884
Murder,96423.0,0.5522437592690541,0.5364611252541578,0.015782634014896324
"Kaito, Bane of Nightmares",9596.0,0.5832638599416423,0.5679634268187794,0.015300433122862889
Sawblade Skinripper,42939.0,0.5602599035841542,0.5459387886056443,0.014321114978509963
Enduring Vitality,22013.0,0.5649388997410622,0.5507218448976984,0.014217054843363774
