name,n_gih,actual_gih_wr,predicted_gih_wr,residual
Ouroboroid,11539.0,0.6612358089955802,0.5510138402999946,0.11022196869558565
Quantum Riddler,13121.0,0.660163097324899,0.577349386639476,0.08281371068542298
Cosmogrand Zenith,11457.0,0.6368159203980099,0.5611632979262174,0.0756526224717925
Elegy Acolyte,24807.0,0.6454226629580361,0.5719281882597675,0.07349447469826853
Possibility Technician,23765.0,0.608584052177572,0.5512577769661033,0.057326275211468714
Beyond the Quiet,17561.0,0.5927338989806958,0.5373212650096418,0.055412633971054004
Thrumming Hivepool,25677.0,0.5768976126494528,0.5258730316591393,0.051024580990313484
Sunset Saboteur,25673.0,0.6160947298718498,0.5672605898345437,0.04883414003730602
Anticausal Vestige,24290.0,0.59287772745986,0.5442899291593086,0.04858779830055138
Sunstar Chaplain,21690.0,0.604794836330106,0.5573092635984102,0.047485572731695846
Warmaker Gunship,22539.0,0.6157327299347797,0.5685309774987232,0.04720175243605651
Tractor Beam,68847.0,0.5813760948189464,0.5371552913358512,0.044220803483095206
Nova Hellkite,21492.0,0.621533593895403,0.579554182579052,0.04197941131635097
Mutinous Massacre,17689.0,0.5961331901181526,0.5544139702188793,0.0417192198992733
Seedship Impact,53857.0,0.5796089644800119,0.5384186676625597,0.04119029681745212
Weftwalking,13509.0,0.5864238655711007,0.545836888145413,0.04058697742568773
Devastating Onslaught,7845.0,0.5783301465901848,0.538690183782738,0.03963996280744675
"Haliya, Guided by Light",19322.0,0.6013352655004658,0.5622839850827798,0.03905128041768602
Lumen-Class Frigate,20896.0,0.6012633996937213,0.5624957113196011,0.03876768837412026
Meltstrider's Resolve,58234.0,0.5864271731290999,0.5484870676003734,0.03794010552872651
Dubious Delicacy,66097.0,0.6042785602977442,0.5665022347471802,0.03777632555056398
Codecracker Hound,80080.0,0.5959665334665335,0.5583166387679517,0.03764989469858182
Terrapact Intimidator,56806.0,0.5961694187233743,0.5589501745782494,0.0372192441451249
Banishing Light,122219.0,0.5823398980518577,0.5452203406523839,0.03711955739947381
Orbital Plunge,136394.0,0.5700250744167632,0.534529280677614,0.03549579373914924
All-Fates Stalker,57336.0,0.5980361378540533,0.5627210737053203,0.03531506414873298
Plasma Bolt,92837.0,0.5566315154518134,0.5222043688715206,0.03442714658029289
Cryogen Relic,181121.0,0.590417455734012,0.5572218691615644,0.0331955865724477
Uthros Psionicist,63897.0,0.5721551872544877,0.5394685779438894,0.0326866093105983
Zero Point Ballad,21758.0,0.5809357477709348,0.5482578017206661,0.03267794605026875
Tragic Trajectory,54099.0,0.5751677480175235,0.5436836619543407,0.03148408606318276
Singularity Rupture,21134.0,0.5911800889561843,0.5605729490617679,0.030607139894416435
Fell Gravship,65476.0,0.602816299101961,0.5731789045425688,0.029637394559392183
Cryoshatter,139395.0,0.5589440080347214,0.5300204290432993,0.028923578991422172
Systems Override,15850.0,0.5601892744479495,0.5314934751902822,0.028695799257667298
Lost in Space,87391.0,0.5632387774484787,0.5364556349911681,0.026783142457310616
Rust Harvester,18463.0,0.5807831879976169,0.5543820003757223,0.026401187621894584
Synthesizer Labship,24966.0,0.5976127533445486,0.5713312690369667,0.026281484307581815
Desculpting Blast,60380.0,0.5712653196422657,0.5450103357923185,0.026254983849947178
Genemorph Imago,25170.0,0.6159316646801748,0.5898559634922482,0.02607570118792657
Harmonious Grovestrider,58837.0,0.5813858626374561,0.5564337893404694,0.024952073296986677
"Syr Vondam, Sunstar Exemplar",15968.0,0.5921843687374749,0.5674134172593576,0.024770951478117365
Dual-Sun Adepts,42444.0,0.5672651022523796,0.5427490439500545,0.02451605830232506
Extinguisher Battleship,21912.0,0.5744797371303395,0.5503430093022513,0.024136727828088178
Gene Pollinator,143729.0,0.5708033869295689,0.5474065653133746,0.023396821616194274
Biosynthic Burst,93824.0,0.5671469986357435,0.5439450446562072,0.023201953979536283
Emissary Escort,19857.0,0.5640831948431284,0.540902281146896,0.02318091369623243
Divert Disaster,74790.0,0.5668271159245889,0.5439364241934579,0.022890691731131008
Eusocial Engineering,48631.0,0.564763216878123,0.5420768706491138,0.022686346229009224
Larval Scoutlander,59868.0,0.5904489877731008,0.5678119541908258,0.02263703358227509
Cut Propulsion,45113.0,0.5561589785649369,0.5338632494664561,0.022295729098480765
