name,n_gih,actual_gih_wr,predicted_gih_wr,residual
Sylvan Scavenging,17224.0,0.6217487227124942,0.538956210973759,0.08279251173873514
Celestial Armor,23214.0,0.6211768760230895,0.5565327300966639,0.06464414592642553
Curator of Destinies,26613.0,0.6233044001052117,0.5625666313941706,0.060737768711041085
Leyline Axe,23644.0,0.6100067670444933,0.549567629530214,0.06043913751427932
"Liliana, Dreadhorde General",11677.0,0.6398047443692729,0.5821434365276817,0.05766130784159118
Blasphemous Edict,24795.0,0.5924581568864691,0.5372924587616615,0.05516569812480754
Faebloom Trick,62610.0,0.5924932119469734,0.5401499107238762,0.05234330122309716
Day of Judgment,17886.0,0.5943754892094375,0.5428176201406253,0.05155786906881221
Mischievous Mystic,63485.0,0.6034181302669922,0.5529221657310359,0.050495964535956284
Burst Lightning,119880.0,0.5822155488822155,0.5351468967904287,0.04706865209178679
Felling Blow,37458.0,0.5916493138982327,0.5453510521668367,0.04629826173139606
Searslicer Goblin,20172.0,0.6028653579218719,0.5596830964558815,0.04318226146599036
Twinflame Tyrant,8833.0,0.6107777651986868,0.5676073616366025,0.043170403562084236
Micromancer,51790.0,0.5929523073952501,0.5505453997117056,0.04240690768354449
"Zimone, Paradox Sculptor",10130.0,0.6274432379072064,0.5856468031362544,0.04179643477095196
Vampire Gourmand,63663.0,0.5855677552110331,0.5454128709889849,0.04015488422204816
"Kellan, Planar Trailblazer",18990.0,0.593522906793049,0.5538546770377876,0.03966822975526141
Spinner of Souls,20409.0,0.618599637414866,0.5791079203056335,0.039491717109232494
Battlesong Berserker,41270.0,0.5773443179064696,0.5407181125136694,0.03662620539280015
Seeker's Folly,34582.0,0.5670580070556938,0.5319673674251787,0.035090639630515064
Scavenging Ooze,17817.0,0.6146938317337375,0.5797398726889749,0.03495395904476262
Dreadwing Scavenger,59305.0,0.6134727257398196,0.578812502074025,0.034660223665794576
Spectral Sailor,57547.0,0.5878499313604532,0.5535262187121119,0.03432371264834122
Stab,146441.0,0.5778368079977602,0.5453043852101155,0.03253242278764468
Cat Collector,50575.0,0.5850123578843301,0.5526592273232886,0.0323531305610415
Helpful Hunter,133291.0,0.5761379237908035,0.5439731669516379,0.03216475683916564
Bloodthirsty Conqueror,10698.0,0.6201159095157973,0.5880252994565601,0.03209061005923719
Llanowar Elves,83593.0,0.5713636309260345,0.5395078680635244,0.03185576286251013
Fiery Annihilation,45277.0,0.5816198069660092,0.5499138384315928,0.03170596853441643
Bake into a Pie,139650.0,0.5838524883637666,0.5522014999200632,0.0316509884437034
Scrawling Crawler,23316.0,0.5821324412420655,0.5505543300358232,0.03157811120624232
Dazzling Angel,124302.0,0.5772312593522229,0.5467205898726943,0.03051066947952852
"Koma, World-Eater",13392.0,0.570041816009558,0.5396288605331091,0.030412955476448844
Self-Reflection,11071.0,0.5522536356246048,0.5218921851626246,0.030361450461980244
"Chandra, Flameshaper",9807.0,0.6174161313347609,0.5875537944415183,0.02986233689324258
Joust Through,37634.0,0.5651007068076739,0.5353540563805756,0.02974665042709823
Hero's Downfall,49773.0,0.5712333996343399,0.5415593414699625,0.029674058164377404
Arbiter of Woe,51925.0,0.5850361097737121,0.5557648436845524,0.029271266089159753
Dragon Trainer,37566.0,0.566283341319278,0.5370870889982835,0.029196252320994542
Heraldic Banner,21541.0,0.5469105426860406,0.5181129760126246,0.02879756667341593
"Kiora, the Rising Tide",24397.0,0.6054842808542034,0.5775834302512918,0.027900850602911587
Hidetsugu's Second Rite,4392.0,0.5687613843351548,0.5408806646204548,0.027880719714699964
Ashroot Animist,14030.0,0.5880969351389879,0.560869355415148,0.027227579723839823
Burglar Rat,143350.0,0.5659783746076038,0.5387682272603691,0.027210147347234703
Tragic Banshee,56933.0,0.5808406372402649,0.5536434394044373,0.027197197835827636
Luminous Rebuke,114313.0,0.5771959444682582,0.5505469049894296,0.026649039478828573
"Arahbo, the First Fang",21367.0,0.6057939813731456,0.5801984707093673,0.025595510663778298
Infernal Vessel,56242.0,0.5812382205469222,0.5565995253303806,0.024638695216541606
