name,n_gih,actual_gih_wr,predicted_gih_wr,residual
Sylvan Scavenging,17224.0,0.6217487227124942,0.5376961388718565,0.08405258384063763
Celestial Armor,23214.0,0.6211768760230895,0.5474555188731843,0.07372135714990513
Twinflame Tyrant,8833.0,0.6107777651986868,0.5435789092650444,0.06719885593364239
"Liliana, Dreadhorde General",11677.0,0.6398047443692729,0.5736287212234975,0.06617602314577542
Day of Judgment,17886.0,0.5943754892094375,0.5292289593915456,0.06514652981789193
Curator of Destinies,26613.0,0.6233044001052117,0.5583804132236689,0.06492398688154277
Blasphemous Edict,24795.0,0.5924581568864691,0.52755114376344,0.06490701312302904
Leyline Axe,23644.0,0.6100067670444933,0.545906117628256,0.06410064941623728
Searslicer Goblin,20172.0,0.6028653579218719,0.5414470487821272,0.061418309139744665
Scavenging Ooze,17817.0,0.6146938317337375,0.5540040180638439,0.060689813669893566
Burst Lightning,119880.0,0.5822155488822155,0.5233468908367449,0.05886865804547059
Spinner of Souls,20409.0,0.618599637414866,0.5620229183270765,0.056576719087789495
Bloodthirsty Conqueror,10698.0,0.6201159095157973,0.565550033289298,0.05456587622649933
"Kellan, Planar Trailblazer",18990.0,0.593522906793049,0.540183017512363,0.053339889280686004
Mischievous Mystic,63485.0,0.6034181302669922,0.5516183738472464,0.05179975641974577
"Arahbo, the First Fang",21367.0,0.6057939813731456,0.557830038139549,0.04796394323359654
Micromancer,51790.0,0.5929523073952501,0.5479105984139104,0.045041708981339634
Faebloom Trick,62610.0,0.5924932119469734,0.5479301417823169,0.04456307016465644
Valkyrie's Call,8535.0,0.5723491505565319,0.530652441779949,0.041696708776582936
"Zimone, Paradox Sculptor",10130.0,0.6274432379072064,0.5897193570906545,0.03772388081655187
Ashroot Animist,14030.0,0.5880969351389879,0.5509506552003046,0.037146279938683247
Scrawling Crawler,23316.0,0.5821324412420655,0.5456182120728207,0.03651422916924485
"Giada, Font of Hope",21190.0,0.6025483718735253,0.5666302755802923,0.03591809629323295
Stab,146441.0,0.5778368079977602,0.5421349803195381,0.03570182767822205
Battlesong Berserker,41270.0,0.5773443179064696,0.5421689783224269,0.03517533958404262
