name,n_gih,actual_gih_wr,predicted_gih_wr,residual
Nibelheim Aflame,15448.0,0.643902123252201,0.5664875873666253,0.07741453588557567
"Ardyn, the Usurper",33136.0,0.6430468372766779,0.5776253106125925,0.0654215266640854
Sazh Katzroy,29145.0,0.6412077543317893,0.5766548111514059,0.0645529431803834
Seifer Almasy,27055.0,0.5926446128257253,0.5395390440404509,0.05310556878527439
The Lunar Whale,37169.0,0.5912184885253841,0.5391841516698267,0.05203433685555736
Buster Sword,15012.0,0.6072475353050892,0.5555219776851221,0.05172555761996711
Summon: Primal Odin,29971.0,0.6208334723566113,0.5705978675813375,0.05023560477527389
Dragoon's Lance,76767.0,0.6155509528834004,0.5695267472565642,0.04602420562683629
The Regalia,30200.0,0.5756953642384106,0.5310014547113757,0.04469390952703489
Summon: Fenrir,76451.0,0.6101947652744896,0.5661445056286561,0.04405025964583342
Swallowed by Leviathan,102193.0,0.5913516581370544,0.5477079438888613,0.04364371424819302
White Auracite,171885.0,0.5924309858335515,0.5499717906570115,0.042459195176539954
Dark Confidant,11729.0,0.5944240770739193,0.5519994341182611,0.042424642955658176
Delivery Moogle,72953.0,0.5998245445697915,0.5576959447399757,0.04212859982981576
Summon: Titan,26425.0,0.6018543046357616,0.560196993367535,0.04165731126822658
PuPu UFO,38205.0,0.5600314095013742,0.5208593481118512,0.039172061389523005
Samurai's Katana,75049.0,0.5980892483577396,0.5595537399760188,0.03853550838172082
Vivi Ornitier,12480.0,0.5908653846153846,0.552743615674442,0.03812176894094266
Overkill,76753.0,0.5854233710734433,0.5475303452045691,0.03789302586887422
Memories Returning,38552.0,0.5991647644739573,0.5614193130334008,0.03774545144055652
Ninja's Blades,22264.0,0.5745598275242544,0.5377468679619418,0.036812959562312564
Blazing Bomb,124531.0,0.5725722912367202,0.5371720402831939,0.03540025095352628
Moogles' Valor,23720.0,0.5874789207419899,0.5524290197169611,0.03504990102502881
Traveling Chocobo,11180.0,0.5884615384615385,0.5546817694256789,0.03377976903585955
Sazh's Chocobo,63477.0,0.5984844904453581,0.5649773742820571,0.03350711616330104
"Jenova, Ancient Calamity",28814.0,0.6012355105157215,0.5677947415036227,0.0334407690120988
