name,n_gih,actual_gih_wr,predicted_gih_wr,residual
Sazh Katzroy,29145.0,0.6412077543317893,0.5758789081179695,0.06532884621381985
"Ardyn, the Usurper",33136.0,0.6430468372766779,0.5805812022109308,0.062465635065747094
Nibelheim Aflame,15448.0,0.643902123252201,0.5848407315751118,0.059061391677089126
Seifer Almasy,27055.0,0.5926446128257253,0.5397824645073287,0.05286214831839664
Summon: Primal Odin,29971.0,0.6208334723566113,0.5701685699716612,0.05066490238495014
The Lunar Whale,37169.0,0.5912184885253841,0.5414658912436742,0.04975259728170989
Samurai's Katana,75049.0,0.5980892483577396,0.5526163811056299,0.04547286725210964
Dragoon's Lance,76767.0,0.6155509528834004,0.5706609414776489,0.04489001140575155
White Auracite,171885.0,0.5924309858335515,0.547760863702401,0.044670122131150514
Buster Sword,15012.0,0.6072475353050892,0.5634475468683925,0.043799988436696746
Swallowed by Leviathan,102193.0,0.5913516581370544,0.5475586240258749,0.04379303411117952
The Regalia,30200.0,0.5756953642384106,0.5327708004591193,0.042924563779291325
Summon: Fenrir,76451.0,0.6101947652744896,0.5675591889366098,0.04263557633787973
Delivery Moogle,72953.0,0.5998245445697915,0.5574374659018693,0.04238707866792224
Memories Returning,38552.0,0.5991647644739573,0.5582979441424223,0.04086682033153499
Summon: Titan,26425.0,0.6018543046357616,0.5637783202991842,0.03807598433657744
Ninja's Blades,22264.0,0.5745598275242544,0.5365014315265529,0.038058395997701444
PuPu UFO,38205.0,0.5600314095013742,0.5224680889988635,0.037563320502510655
Overkill,76753.0,0.5854233710734433,0.5482227962710896,0.037200574802353725
Moogles' Valor,23720.0,0.5874789207419899,0.5509755806000555,0.03650334014193446
Combat Tutorial,236650.0,0.5881174730614832,0.5523780993051064,0.03573937375637681
"Jenova, Ancient Calamity",28814.0,0.6012355105157215,0.5677127306952965,0.033522779820425064
Blazing Bomb,124531.0,0.5725722912367202,0.5394171210559785,0.033155170180741655
"Shantotto, Tactician Magician",81822.0,0.588130331695632,0.5552882590781465,0.03284207261748551
Sleep Magic,90005.0,0.5869118382312094,0.5541057556207396,0.0328060826104698
Chocobo Kick,156461.0,0.5737404209355687,0.5416200499051705,0.03212037103039811
Sazh's Chocobo,63477.0,0.5984844904453581,0.566760235446909,0.03172425499844911
Astrologian's Planisphere,30273.0,0.5762560697651372,0.5458165735966228,0.03043949616851438
"Zidane, Tantalus Thief",34894.0,0.581246059494469,0.5509772694215449,0.030268790072924046
Fire Magic,57197.0,0.5757819466055912,0.5466736127732971,0.029108333832294164
Choco-Comet,85898.0,0.6095368925935412,0.5813467434976519,0.02819014909588924
"Gilgamesh, Master-at-Arms",14830.0,0.5716115981119353,0.5437232757114688,0.02788832240046646
"Firion, Wild Rose Warrior",15278.0,0.5653881398088755,0.538128234713761,0.027259905095114445
Gaelicat,142154.0,0.5663927852891935,0.5394925721092233,0.026900213179970156
Malboro,146967.0,0.5592343859505875,0.5326121365748439,0.026622249375743645
Sahagin,237502.0,0.5795909087081372,0.5531384211179002,0.026452487590236995
Cloud of Darkness,74148.0,0.5987349625074176,0.572647212686851,0.026087749820566608
Thunder Magic,198966.0,0.5824814289878673,0.5564699712467465,0.02601145774112079
Vayne's Treachery,199062.0,0.5733188654790969,0.5476932934120377,0.025625572067059288
Adelbert Steiner,58950.0,0.580186598812553,0.5546543854709043,0.02553221334164868
Dragoon's Wyvern,263810.0,0.5860695197301088,0.560876658472939,0.025192861257169796
Vivi Ornitier,12480.0,0.5908653846153846,0.5672436229390282,0.023621761676356434
"Ultros, Obnoxious Octopus",92225.0,0.5807535917592843,0.5572633946301176,0.023490197129166668
Dark Confidant,11729.0,0.5944240770739193,0.5709893712077992,0.023434705866120065
Ride the Shoopuf,33130.0,0.5570781768789617,0.5343544192942413,0.02272375758472034
"Torgal, A Fine Hound",70627.0,0.5837286023758619,0.5613542140210801,0.022374388354781782
Prompto Argentum,55889.0,0.5636708475728677,0.5415216803351843,0.022149167237683343
Cornered by Black Mages,179010.0,0.5817552092061896,0.5600745544283112,0.021680654777878394
Sephiroth's Intervention,202237.0,0.5844182815211856,0.5628567308861971,0.021561550634988436
Suplex,161242.0,0.566738194763151,0.5457848852295931,0.020953309533557896
Il Mheg Pixie,93411.0,0.578711286679299,0.5580554802232909,0.020655806456008174
Ring of the Lucii,21128.0,0.5373911397198031,0.516765795507411,0.02062534421239215
Phantom Train,33945.0,0.5487995286492856,0.5283314174222864,0.020468111226999208
Demon Wall,52390.0,0.5459057071960298,0.5257874767433527,0.020118230452677133
Scorpion Sentinel,180058.0,0.5589143498206134,0.5388104889448252,0.020103860875788193
Dreams of Laguna,219032.0,0.5775640089119398,0.5575104745964565,0.02005353431548329
"Vanille, Cheerful l'Cie",74952.0,0.5828930515529939,0.562861274381646,0.020031777171347853
Locke Cole,58580.0,0.5714578354387163,0.5517728731537825,0.01968496228493377
"Cid, Timeless Artificer",35453.0,0.5531548811102023,0.533957657856819,0.019197223253383244
Coral Sword,19544.0,0.5445149406467458,0.5257546162263382,0.018760324420407537
Traveling Chocobo,11180.0,0.5884615384615385,0.5705989562557029,0.017862582205835587
Ignis Scientia,65354.0,0.5874009241974477,0.569955093961429,0.017445830236018756
Sorceress's Schemes,63476.0,0.5750992501102778,0.5579047242637674,0.01719452584651049
Town Greeter,185852.0,0.5874835890923961,0.5704398171256815,0.017043771966714583
Zell Dincht,12016.0,0.5548435419440746,0.5381309659311191,0.016712576012955505
Magitek Infantry,140445.0,0.5814731745523158,0.5650260063687262,0.0164471681835896
"Yuna, Hope of Spira",8757.0,0.6005481329222336,0.5850696455326322,0.015478487389601447
Slash of Light,134317.0,0.5663244414333256,0.5511309176791842,0.015193523754141403
Resentful Revelation,178205.0,0.5775034370528324,0.5625549662774831,0.01494847077534922
Summon: Fat Chocobo,158693.0,0.5755956469409489,0.5608386622469524,0.014756984693996444
Aerith Gainsborough,15686.0,0.551000892515619,0.5365011467697254,0.014499745745893633
Summon: Leviathan,32457.0,0.5855439504575284,0.5717767189779094,0.013767231479619002
Undercity Dire Rat,142590.0,0.5516024966687706,0.5380426510410452,0.013559845627725386
Shinra Reinforcements,123471.0,0.5684087761498652,0.5550940592024661,0.013314716947399052
Monk's Fist,96410.0,0.54425889430557,0.5311290299774153,0.013129864328154661
Absolute Virtue,8508.0,0.5856840620592384,0.5727291892133545,0.012954872845883925
Relentless X-ATM092,18550.0,0.5145013477088949,0.5023173040266439,0.012184043682251011
Adventurer's Airship,30455.0,0.5391232966672139,0.5270845731963365,0.012038723470877422
"Omega, Heartless Evolution",58671.0,0.5769460210325373,0.5650564495197326,0.011889571512804786
Evil Reawakened,61680.0,0.5692444876783398,0.5577318766893244,0.011512610989015348
You're Not Alone,75309.0,0.5605571711216455,0.549324268902816,0.011232902218829444
"Squall, SeeD Mercenary",20242.0,0.576326449955538,0.5651603158356744,0.011166134119863558
Ice Magic,247742.0,0.5810197705677681,0.5701576325672556,0.0108621380005125
The Crystal's Chosen,46277.0,0.5716014434816431,0.560973186556506,0.010628256925137136
The Wandering Minstrel,16621.0,0.5558630647975453,0.5453148037281597,0.010548261069385667
"Cloud, Midgar Mercenary",9636.0,0.5884184308841843,0.5779124990592323,0.010505931824952075
Cargo Ship,24436.0,0.545342936650843,0.5350981244250934,0.010244812225749578
Zack Fair,57454.0,0.5764437637066174,0.5663829158570347,0.010060847849582721
Eject,105151.0,0.5920343125600327,0.5821184764036121,0.009915836156420554
Genji Glove,4907.0,0.5039739148155696,0.4940711746776275,0.009902740137942123
Summon: Knights of Round,11663.0,0.588699305496013,0.578801735423533,0.009897570072480044
Al Bhed Salvagers,54678.0,0.5574271187680603,0.5485003542677255,0.008926764500334805
Freya Crescent,25111.0,0.5482059655131217,0.5399275506370134,0.008278414876108364
Circle of Power,65012.0,0.5733403064049714,0.5655788495129085,0.007761456892062868
Balamb T-Rexaur,141935.0,0.5572480360728502,0.5496130318017034,0.007635004271146828
Magic Damper,64979.0,0.5594884501146524,0.551945527281011,0.007542922833641441
"Lightning, Army of One",8207.0,0.5636651638844888,0.5563314001258131,0.007333763758675782
Lion Heart,45452.0,0.5378421191586729,0.5305733988220183,0.007268720336654599
Black Mage's Rod,153547.0,0.5561293936058667,0.5490701499526954,0.007059243653171232
Ancient Adamantoise,10568.0,0.5788228614685844,0.5721877445216682,0.006635116946916209
Judge Magister Gabranth,34651.0,0.5593200773426452,0.5541207091604535,0.005199368182191688
"Choco, Seeker of Paradise",11804.0,0.5509149440867502,0.5463545806850996,0.004560363401650669
