name,n_gih,actual_gih_wr,predicted_gih_wr,residual
Fresh Start,71542.0,0.5703363059461575,0.5157662737474976,0.05457003219865986
Sibsig Appraiser,221454.0,0.5891833066912315,0.5469857539456113,0.042197552745620204
Sonic Shrieker,56507.0,0.6097120710708408,0.5709370365416673,0.038775034529173524
Traveling Botanist,66649.0,0.5885459646806404,0.549989988654556,0.038555976026084404
Mardu Monument,49974.0,0.5873654300236123,0.5504461694290687,0.036919260594543646
Sage of the Skies,28720.0,0.6438370473537605,0.6076966917690774,0.03614035558468309
War Effort,44034.0,0.5637007766725712,0.5297897340909313,0.033911042581639905
"Surrak, Elusive Hunter",26652.0,0.605132823052679,0.5731248194178303,0.03200800363484868
Roiling Dragonstorm,71105.0,0.5865691582870403,0.5545781199960664,0.03199103829097383
Knockout Maneuver,59132.0,0.5856896435094365,0.554394123102539,0.03129552040689754
Roar of Endless Song,32491.0,0.6497183835523683,0.6185681460853801,0.031150237466988195
Rakshasa's Bargain,64473.0,0.584399671180184,0.5535555968249923,0.030844074355191653
Tersa Lightshatter,24153.0,0.5805490001242082,0.5499247765687129,0.030624223555495322
Eshki Dragonclaw,30402.0,0.6044668113939873,0.5740708733963242,0.030395937997663047
Mardu Devotee,127045.0,0.580274705812901,0.5504483794884609,0.029826326324440045
Yathan Roadwatcher,12719.0,0.5684409151662867,0.5407830928160099,0.027657822350276806
Piercing Exhale,142116.0,0.5723423119142109,0.544918391540835,0.027423920373375932
Salt Road Packbeast,140145.0,0.5774376538585037,0.5502626732939327,0.027174980564570905
Winternight Stories,33097.0,0.6039822340393389,0.5776092650385451,0.026372969000793778
Awaken the Honored Dead,27988.0,0.5998284979276833,0.5736396166342536,0.026188881293429778
Dragon's Prey,108437.0,0.5519149367835702,0.5265656951656014,0.02534924161796881
Lasyd Prowler,25178.0,0.5802684883628565,0.5562957492184524,0.02397273914440412
Caustic Exhale,129516.0,0.5710877420550357,0.5479789761257811,0.023108765929254593
Static Snare,49702.0,0.5626534143495232,0.5396146990746822,0.023038715274841026
Death Begets Life,14589.0,0.6123791898005346,0.5902006591301167,0.022178530670417973
Stormplain Detainment,109291.0,0.5535771472490874,0.5316263303999754,0.02195081684911193
Ainok Wayfarer,152781.0,0.5700316138786891,0.5488199042831543,0.021211709595534756
Shock Brigade,124667.0,0.5594263116943538,0.5383819667191777,0.021044344975176044
Sagu Pummeler,114590.0,0.551234837245833,0.5303621465487796,0.020872690697053442
Bearer of Glory,105298.0,0.5457748485251381,0.5250580651304684,0.020716783394669758
Dragonologist,31320.0,0.5925287356321839,0.5719520300001987,0.020576705631985215
All-Out Assault,9399.0,0.599212682200234,0.5789373833569768,0.020275298843257294
Cori-Steel Cutter,26287.0,0.5971773119793053,0.5772819439821328,0.01989536799717251
Equilibrium Adept,52872.0,0.5613557270388864,0.5419294474694558,0.01942627956943055
Aggressive Negotiations,41234.0,0.5490857059708008,0.5299445254472636,0.019141180523537193
"Betor, Kin to All",12354.0,0.6189898008742107,0.5998714100958403,0.01911839077837041
Qarsi Revenant,22131.0,0.6097329537752474,0.5907715511332059,0.01896140264204149
Venerated Stormsinger,28081.0,0.549125743385207,0.53020532680667,0.018920416578537047
Voice of Victory,22266.0,0.6013653103386329,0.5826268376741024,0.018738472664530548
Boulderborn Dragon,58535.0,0.5150593661911677,0.49646369129773743,0.018595674893430225
Descendant of Storms,48673.0,0.5821913586588047,0.5638521676368244,0.018339191021980228
Meticulous Artisan,32975.0,0.5468081880212282,0.5286215173231138,0.018186670698114416
Rebellious Strike,63249.0,0.554664895887682,0.5369617206285002,0.017703175259181747
Rally the Monastery,58176.0,0.5919623212321232,0.5743022623034668,0.017660058928656408
Warden of the Grove,26261.0,0.6133810593655992,0.5958687717955793,0.01751228757001988
Sarkhan's Resolve,71967.0,0.5586032487112149,0.5414085964025145,0.01719465230870043
Riverwalk Technique,124918.0,0.5627131398197217,0.5461710579924133,0.01654208182730843
Fleeting Effigy,32762.0,0.55158415237165,0.5352831546583708,0.016300997713279197
Riverwheel Sweep,53428.0,0.5760275510968031,0.5601075360245555,0.015920015072247606
Dragonstorm Globe,139295.0,0.5570120966294555,0.5411871366358333,0.015824959993622212
Furious Forebear,41853.0,0.5487778653859938,0.5331363971481637,0.01564146823783008
Strategic Betrayal,21295.0,0.5497065038741489,0.5341876346860607,0.015518869188088202
Sunset Strikemaster,60734.0,0.574373497546679,0.5590646733935383,0.015308824153140721
Champion of Dusan,112433.0,0.5545169122944331,0.5396180214183564,0.014898890876076765
Stalwart Successor,28747.0,0.5381431105854524,0.5234388745214189,0.014704236064033482
Kishla Trawlers,65736.0,0.5674668370451503,0.5528226969641076,0.014644140081042756
Unending Whisper,110988.0,0.5644123689047464,0.5498383344299672,0.01457403447477923
Synchronized Charge,35256.0,0.5680735194009531,0.5537976679669094,0.01427585143404364
Fangkeeper's Familiar,28498.0,0.6097269983858516,0.5955625117695924,0.014164486616259242
Wail of War,19618.0,0.5515343052298909,0.5380673163458157,0.01346698888407516
Shocking Sharpshooter,53170.0,0.5786721835621591,0.5652368594324516,0.013435324129707493
Inevitable Defeat,20825.0,0.600048019207683,0.5867522625348971,0.01329575667278593
Lie in Wait,52190.0,0.5709906112282046,0.5578876477533674,0.013102963474837193
