name,n_gih,actual_gih_wr,predicted_gih_wr,residual
Sage of the Skies,28720.0,0.6438370473537605,0.5789111064464686,0.06492594090729187
Fresh Start,71542.0,0.5703363059461575,0.5145501924626839,0.05578611348347362
Sinkhole Surveyor,21907.0,0.602136303464646,0.5563153312490515,0.04582097221559445
"Surrak, Elusive Hunter",26652.0,0.605132823052679,0.5602826970151585,0.04485012603752048
Roar of Endless Song,32491.0,0.6497183835523683,0.6091211433182527,0.040597240234115595
Qarsi Revenant,22131.0,0.6097329537752474,0.5692468726427004,0.040486081132547036
Winternight Stories,33097.0,0.6039822340393389,0.5639789184641639,0.040003315575175
Warden of the Grove,26261.0,0.6133810593655992,0.5742242895667531,0.03915676979884608
Tersa Lightshatter,24153.0,0.5805490001242082,0.5421995494270903,0.038349450697117926
Dragonback Assault,14773.0,0.6753536857781087,0.6370809022756955,0.038272783502413255
Traveling Botanist,66649.0,0.5885459646806404,0.5502926324637383,0.03825333221690208
"Shiko, Paragon of the Way",13543.0,0.626375249206232,0.5892946126202719,0.03708063658596006
Lasyd Prowler,25178.0,0.5802684883628565,0.543937360219815,0.03633112814304151
Voice of Victory,22266.0,0.6013653103386329,0.5652961033696258,0.03606920696900717
Eshki Dragonclaw,30402.0,0.6044668113939873,0.5684941869228937,0.03597262447109362
All-Out Assault,9399.0,0.599212682200234,0.5642385354413342,0.03497414675889987
Mardu Monument,49974.0,0.5873654300236123,0.5533568464727008,0.03400858355091152
Sibsig Appraiser,221454.0,0.5891833066912315,0.5552626137097045,0.033920692981527
Dragonologist,31320.0,0.5925287356321839,0.5589672573271954,0.03356147830498846
Knockout Maneuver,59132.0,0.5856896435094365,0.5528229019382861,0.03286674157115044
Yathan Roadwatcher,12719.0,0.5684409151662867,0.5356469486260431,0.03279396654024358
Roiling Dragonstorm,71105.0,0.5865691582870403,0.5561057139588917,0.030463444328148515
Cori-Steel Cutter,26287.0,0.5971773119793053,0.5668444142273376,0.03033289775196779
Mardu Devotee,127045.0,0.580274705812901,0.551460100479782,0.02881460533311897
Piercing Exhale,142116.0,0.5723423119142109,0.5449634147317178,0.02737889718249309
Rakshasa's Bargain,64473.0,0.584399671180184,0.5572609915352028,0.02713867964498118
Salt Road Packbeast,140145.0,0.5774376538585037,0.5509957688943932,0.026441884964110485
"Elspeth, Storm Slayer",12837.0,0.6718080548414739,0.6459643685861962,0.025843686255277665
War Effort,44034.0,0.5637007766725712,0.5379782620879477,0.02572251458462349
Dragonstorm Globe,139295.0,0.5570120966294555,0.5329657372342681,0.0240463593951874
Caustic Exhale,129516.0,0.5710877420550357,0.548939266434778,0.02214847562025768
"Betor, Kin to All",12354.0,0.6189898008742107,0.5968784617736818,0.02211133910052898
