name,n_gih,actual_gih_wr,predicted_gih_wr,residual
"Sally Pride, Lioness Leader",8479.0,0.697487911310296,0.6204128416835613,0.07707506962673472
Mighty Mutanimals,24400.0,0.6474180327868853,0.5815083108931969,0.06590972189368838
"April O'Neil, Hacktivist",10703.0,0.645613379426329,0.5835250888656497,0.06208829056067933
The Last Ronin,4466.0,0.6999552171965965,0.6503939291936616,0.04956128800293491
"Agent Bishop, Man in Black",7834.0,0.6393923921368394,0.5898834862215381,0.04950890591530133
Manhole Missile,55322.0,0.6001590687249195,0.5513198500448518,0.048839218680067686
Courier of Comestibles,28141.0,0.6293308695497672,0.5832213215882133,0.046109547961553976
Ravenous Robots,7493.0,0.6175096756973175,0.5714437012898401,0.046065974407477395
Lessons from Life,22861.0,0.6040418179432221,0.5609154993911182,0.043126318552103915
Turncoat Kunoichi,7221.0,0.6284448137377094,0.5891268373206141,0.039317976417095335
Return to the Sewers,53475.0,0.5915661524076672,0.5527301613396484,0.03883599106801883
Tenderize,43805.0,0.5774911539778564,0.5401277815056853,0.03736337247217114
"Casey Jones, Jury-Rig Justiciar",23016.0,0.6157455683003128,0.5785550446391577,0.03719052366115505
Metalhead,31761.0,0.6226819054815654,0.5858557756615339,0.03682612982003153
Frog Butler,63191.0,0.6153724422781726,0.5785660011637483,0.036806441114424215
Improvised Arsenal,6287.0,0.5773818991569906,0.542204976940369,0.03517692221662161
Stomped by the Foot,45641.0,0.5761267281610832,0.5421044421894764,0.034022285971606836
Mind Transfer Protocol,21771.0,0.5736989573285564,0.5414023076805901,0.0322966496479663
"Donatello, Turtle Techie",50185.0,0.5855135996811797,0.5540033356495219,0.0315102640316578
Novel Nunchaku,19632.0,0.5849123879380603,0.5540351234062963,0.03087726453176398
"Don & Leo, Problem Solvers",9028.0,0.624612317235268,0.5944062887688496,0.0302060284664184
"Raphael, the Nightwatcher",5168.0,0.5890092879256966,0.5590374917090177,0.029971796216678892
"Mikey & Don, Party Planners",8016.0,0.6225049900199601,0.5925604178478092,0.029944572172150852
Sewer-veillance Cam,60687.0,0.5948390923921103,0.5658694954490725,0.0289695969430378
Dream Beavers,23034.0,0.6393592081271164,0.6110449141816366,0.028314293945479796
Mouser Foundry,59733.0,0.5975256558351331,0.5693442643515777,0.028181391483555362
Ninja Teen,5730.0,0.5986038394415357,0.5717775758000782,0.02682626364145757
North Wind Avatar,4336.0,0.6233856088560885,0.5979071513722916,0.025478457483796957
"Leatherhead, Swamp Stalker",6846.0,0.6184633362547473,0.593833199189501,0.024630137065246305
"Leonardo, Sewer Samurai",3242.0,0.6113510178901912,0.5879847003505941,0.02336631753959706
"Splinter, Hamato Yoshi",16614.0,0.5915492957746479,0.5689088642215485,0.02264043155309936
The Last Ronin's Technique,18764.0,0.5939565124706886,0.5715707699997646,0.022385742470923953
"Michelangelo, Game Master",27960.0,0.5437052932761087,0.5213561440028214,0.02234914927328735
