name,n_gih,actual_gih_wr,predicted_gih_wr,residual
"Sally Pride, Lioness Leader",8525.0,0.6973607038123167,0.5994192541128647,0.09794144969945207
The Last Ronin,4499.0,0.6999333185152256,0.6263818141759003,0.07355150433932522
"April O'Neil, Hacktivist",10782.0,0.6457058059729178,0.5764264711609576,0.06927933481196025
Mighty Mutanimals,24609.0,0.647405420781015,0.5800529220318569,0.06735249874915816
"Agent Bishop, Man in Black",7908.0,0.6396054628224582,0.5794237409169294,0.06018172190552884
Ravenous Robots,7553.0,0.6180325698397987,0.5620255867524485,0.05600698308735019
Lessons from Life,23026.0,0.6040128550334405,0.5484879390700059,0.05552491596343456
Manhole Missile,55811.0,0.60002508466073,0.5513230334438134,0.04870205121691662
Improvised Arsenal,6316.0,0.5774224192526916,0.5290520696863061,0.04837034956638542
Courier of Comestibles,28311.0,0.6289074917876444,0.5805728072593583,0.04833468452828604
Turncoat Kunoichi,7275.0,0.6287285223367698,0.5812427327181741,0.04748578961859573
"Mikey & Don, Party Planners",8083.0,0.621798837065446,0.5779761729269651,0.043822664138480905
"Casey Jones, Jury-Rig Justiciar",23212.0,0.6155006031363088,0.5743388141736554,0.041161788962653434
Dream Beavers,23217.0,0.6393160184347676,0.5982844530019555,0.041031565432812056
North Wind Avatar,4366.0,0.6223087494273934,0.5826900667602941,0.039618682667099336
"Don & Leo, Problem Solvers",9106.0,0.6255216340874149,0.5868715833268351,0.03865005076057981
Dark Leo & Shredder,3152.0,0.6313451776649747,0.5928345374325206,0.038510640232454096
"Leatherhead, Swamp Stalker",6880.0,0.6184593023255814,0.5799761096425572,0.03848319268302425
Ninja Teen,5775.0,0.5982683982683983,0.5601095221871005,0.038158876081297755
"Leonardo, Sewer Samurai",3259.0,0.6118441239644062,0.5737157602436422,0.038128363720764
Metalhead,31980.0,0.6227016885553471,0.5863996188204271,0.036302069734920006
"Raphael, the Nightwatcher",5208.0,0.5892857142857143,0.553525154688326,0.03576055959738833
Sewer-veillance Cam,61276.0,0.5946536980220641,0.5599836656125962,0.03467003240946798
Frog Butler,63603.0,0.6153168875681965,0.5839076523334026,0.031409235234793886
Novel Nunchaku,19772.0,0.5854238316811653,0.5556479825441214,0.029775849137043897
Tenderize,44107.0,0.5774593601922597,0.5479318438792765,0.029527516312983226
"Armaggon, Future Shark",8212.0,0.649171943497321,0.6198037916012106,0.029368151896110417
Chrome Dome,8421.0,0.6051537822111388,0.576491102731417,0.028662679479721787
Mind Transfer Protocol,21984.0,0.5734170305676856,0.5451165297643744,0.028300500803311146
Tainted Treats,22080.0,0.6096014492753623,0.5813195274442579,0.02828192183110445
"Savanti Romero, Time's Exile",7196.0,0.6006114508060033,0.5731651003298311,0.027446350476172166
Weather Maker,8122.0,0.6057621275547894,0.579277972980853,0.02648415457393638
Does Machines,8815.0,0.6257515598411798,0.599324859959425,0.026426699881754834
Stomped by the Foot,45928.0,0.576140916216687,0.5504465461452521,0.025694370071434824
Transdimensional Bovine,6962.0,0.5936512496409078,0.5689025029682323,0.02474874667267546
Saved by the Shell,14779.0,0.5802151701738953,0.5557340502794055,0.024481119894489867
"Raph & Mikey, Troublemakers",7562.0,0.6100238032266596,0.5856186753420547,0.024405127884604916
Technodrome,3494.0,0.5915855752718947,0.5674096168592442,0.024175958412650522
The Last Ronin's Technique,18881.0,0.5936655897463058,0.5697405622777837,0.023925027468522098
Brilliance Unleashed,31561.0,0.6234276480466399,0.5997213630068217,0.023706285039818198
Mouser Foundry,60301.0,0.5975025289796189,0.5738029161817549,0.023699612797863923
Ooze Spill,22936.0,0.6063393791419602,0.582804130731072,0.023535248410888276
"Rat King, Verminister",7212.0,0.5996949528563505,0.5763471115874894,0.023347841268861136
Return to the Sewers,53894.0,0.5915500797862471,0.5688723876537398,0.022677692132507254
Jennika's Technique,2552.0,0.5630877742946708,0.5422802825357146,0.020807491758956242
"Leonardo, Leader in Blue",17746.0,0.5920207370675081,0.5724902889208991,0.01953044814660898
"Kitsune, Dragon's Daughter",9225.0,0.6172357723577235,0.5979411881788728,0.01929458417885077
Super Shredder,3314.0,0.5971635485817743,0.5779375150172659,0.01922603356450847
"Donatello, Turtle Techie",50604.0,0.5854873132558691,0.5667667033389021,0.018720609916967
Death in the Family,18806.0,0.5802935233436137,0.5619959123672545,0.01829761097635918
Buzz Bots,56428.0,0.5908768696391862,0.573764411258877,0.01711245838030917
Baxter Stockman,24610.0,0.5973587972368956,0.580379879495661,0.0169789177412345
Everything Pizza,29979.0,0.6404149571366623,0.6237343394018251,0.0166806177348372
Shredder's Technique,18030.0,0.5729894620077648,0.5571844105946824,0.015805051413082416
"Shark Shredder, Killer Clone",6476.0,0.5849289684990735,0.5695408728804551,0.015388095618618425
"Donatello, Mutant Mechanic",3920.0,0.5938775510204082,0.5792764610615445,0.014601089958863667
"Splinter, Hamato Yoshi",16720.0,0.5911483253588516,0.5765702104284479,0.01457811493040373
Quintessential Katana,13508.0,0.566108972460764,0.5515817653638541,0.014527207096909911
Prehistoric Pet,5241.0,0.5853844686128601,0.570979957260438,0.014404511352422045
Turtle Van,7255.0,0.5790489317711923,0.5647021433644027,0.014346788406789601
"Lord Dregg, Insect Invader",15603.0,0.5723899250144203,0.5581263358979971,0.014263589116423225
Turtle Blimp,26355.0,0.5922215898311516,0.5792343979999133,0.01298719183123831
Spicy Oatmeal Pizza,21813.0,0.5717691285013524,0.5590531485325808,0.012715979968771607
South Wind Avatar,5105.0,0.5563173359451518,0.5436182036328328,0.012699132312319006
Karai's Technique,17594.0,0.5703648971240195,0.5578542420403583,0.012510655083661226
Omni-Cheese Pizza,45461.0,0.5852049009040716,0.5738951397064083,0.01130976119766336
Dimensional Exile,18799.0,0.587212085749242,0.5761317088949868,0.011080376854255225
Michelangelo's Technique,2478.0,0.5609362389023406,0.5506285864956801,0.010307652406660428
Primordial Pachyderm,43481.0,0.5797934730112003,0.571044267765121,0.008749205246079361
Triceraton Commander,3491.0,0.612145517043827,0.6035106902137427,0.008634826830084319
"Jennika, Bad Apple Big Sister",28920.0,0.5597510373443984,0.5520517530079005,0.0076992843364978025
Shredder's Revenge,12427.0,0.5581395348837209,0.5506647575591622,0.007474777324558701
The Ooze,7280.0,0.5817307692307693,0.5743077845384534,0.007422984692315837
The Cloning of Shredder,3859.0,0.6066338429644986,0.6009680880267305,0.005665754937768108
"Michelangelo, Weirdness to 11",6258.0,0.6027484819431128,0.5971976060953592,0.0055508758477536
Ragamuffin Raptor,43436.0,0.5693894465420388,0.5648565749942794,0.004532871547759387
