name,n_gih,actual_gih_wr,predicted_gih_wr,residual
"Sally Pride, Lioness Leader",8525.0,0.6973607038123167,0.6203417343679357,0.07701896944438102
Mighty Mutanimals,24609.0,0.647405420781015,0.5817608875661295,0.0656445332148855
"April O'Neil, Hacktivist",10782.0,0.6457058059729178,0.5833959366199034,0.06230986935301441
"Agent Bishop, Man in Black",7908.0,0.6396054628224582,0.5896119049840911,0.04999355783836712
Manhole Missile,55811.0,0.60002508466073,0.5509206034276026,0.049104481233127384
The Last Ronin,4499.0,0.6999333185152256,0.651180904202202,0.04875241431302357
Courier of Comestibles,28311.0,0.6289074917876444,0.5828599224211184,0.04604756936652599
Ravenous Robots,7553.0,0.6180325698397987,0.5719865376182504,0.04604603222154835
Lessons from Life,23026.0,0.6040128550334405,0.5612182218500189,0.04279463318342158
Turncoat Kunoichi,7275.0,0.6287285223367698,0.5891444322101921,0.03958409012657771
Return to the Sewers,53894.0,0.5915500797862471,0.5522674470620251,0.039282632724221944
Tenderize,44107.0,0.5774593601922597,0.5398746545009157,0.03758470569134409
Metalhead,31980.0,0.6227016885553471,0.5853059308877305,0.0373957576676166
"Casey Jones, Jury-Rig Justiciar",23212.0,0.6155006031363088,0.5785687163250144,0.036931886811294445
Frog Butler,63603.0,0.6153168875681965,0.5785342939002045,0.03678259366799197
Improvised Arsenal,6316.0,0.5774224192526916,0.5423798307452598,0.035042588507431804
Stomped by the Foot,45928.0,0.576140916216687,0.5418456993383153,0.03429521687837167
Mind Transfer Protocol,21984.0,0.5734170305676856,0.5408047616507384,0.03261226891694713
"Donatello, Turtle Techie",50604.0,0.5854873132558691,0.5537836439064173,0.03170366934945179
Novel Nunchaku,19772.0,0.5854238316811653,0.553776155856644,0.031647675824521326
"Don & Leo, Problem Solvers",9106.0,0.6255216340874149,0.5943429159765594,0.031178718110855486
"Raphael, the Nightwatcher",5208.0,0.5892857142857143,0.5592754050674096,0.03001030921830472
"Mikey & Don, Party Planners",8083.0,0.621798837065446,0.5921805717001681,0.029618265365277896
Sewer-veillance Cam,61276.0,0.5946536980220641,0.56558330789711,0.02907039012495416
Mouser Foundry,60301.0,0.5975025289796189,0.5693200367970723,0.028182492182546537
Dream Beavers,23217.0,0.6393160184347676,0.6112302348958129,0.028085783538954745
Ninja Teen,5775.0,0.5982683982683983,0.571969414854343,0.026298983414055233
"Leatherhead, Swamp Stalker",6880.0,0.6184593023255814,0.593950195189592,0.024509107135989416
North Wind Avatar,4366.0,0.6223087494273934,0.5983815864639335,0.02392716296345998
"Leonardo, Sewer Samurai",3259.0,0.6118441239644062,0.5880482613075826,0.023795862656823652
"Splinter, Hamato Yoshi",16720.0,0.5911483253588516,0.5683628606452932,0.022785464713558468
"Michelangelo, Game Master",28097.0,0.5435811652489589,0.5212233642426859,0.022357801006273048
The Last Ronin's Technique,18881.0,0.5936655897463058,0.5713303309669214,0.02233525877938436
Brilliance Unleashed,31561.0,0.6234276480466399,0.6018419187269494,0.021585729319690494
"Armaggon, Future Shark",8212.0,0.649171943497321,0.6284205663180827,0.02075137717923825
Saved by the Shell,14779.0,0.5802151701738953,0.5598029166116671,0.0204122535622282
Dark Leo & Shredder,3152.0,0.6313451776649747,0.611413618806897,0.019931558858077625
"Leonardo, Leader in Blue",17746.0,0.5920207370675081,0.5722680004965601,0.019752736570948004
Jennika's Technique,2552.0,0.5630877742946708,0.5441491924701876,0.01893858182448327
Buzz Bots,56428.0,0.5908768696391862,0.5725989436287103,0.018277926010475842
Ooze Spill,22936.0,0.6063393791419602,0.5881048589930452,0.018234520148915023
Tainted Treats,22080.0,0.6096014492753623,0.591437353172437,0.018164096102925353
Quintessential Katana,13508.0,0.566108972460764,0.5480550237073004,0.018053948753463556
"Bebop, Warthog Warrior",9968.0,0.5239767255216693,0.5060627126046318,0.017914012917037536
Shredder's Technique,18030.0,0.5729894620077648,0.5552964702340027,0.017692991773762046
Primordial Pachyderm,43481.0,0.5797934730112003,0.5624442477896119,0.017349225221588438
Ragamuffin Raptor,43436.0,0.5693894465420388,0.5536713433220001,0.01571810322003875
Chrome Dome,8421.0,0.6051537822111388,0.5898703917164291,0.015283390494709725
Weather Maker,8122.0,0.6057621275547894,0.5911753175252213,0.014586810029568076
"Raph & Mikey, Troublemakers",7562.0,0.6100238032266596,0.5955435787520348,0.014480224474624825
Does Machines,8815.0,0.6257515598411798,0.6114070843072306,0.014344475533949241
"Jennika, Bad Apple Big Sister",28920.0,0.5597510373443984,0.5459331554553241,0.01381788188907429
Baxter Stockman,24610.0,0.5973587972368956,0.5836922721266831,0.01366652511021249
Transdimensional Bovine,6962.0,0.5936512496409078,0.5805767758293529,0.01307447381155491
Death in the Family,18806.0,0.5802935233436137,0.5673196049858521,0.012973918357761627
Turtle Blimp,26355.0,0.5922215898311516,0.5793078371893696,0.012913752641781961
"Rat King, Verminister",7212.0,0.5996949528563505,0.5868835412498146,0.012811411606535983
"Lord Dregg, Insect Invader",15603.0,0.5723899250144203,0.559615851462035,0.012774073552385357
"Savanti Romero, Time's Exile",7196.0,0.6006114508060033,0.5878953848271179,0.012716065978885416
Omni-Cheese Pizza,45461.0,0.5852049009040716,0.5743051362611729,0.010899764642898768
"Kitsune, Dragon's Daughter",9225.0,0.6172357723577235,0.6063365251448595,0.01089924721286406
"April O'Neil, Kunoichi Trainee",42875.0,0.5776559766763848,0.5688623783561931,0.008793598320191665
"Shark Shredder, Killer Clone",6476.0,0.5849289684990735,0.5766737685274171,0.008255199971656357
"Rocksteady, Crash Courser",19283.0,0.5326971944199554,0.5246599780675336,0.008037216352421828
Squirrelanoids,40992.0,0.574648711943794,0.5667566042827697,0.007892107661024217
Retro-Mutation,21810.0,0.553232462173315,0.5453630389055605,0.007869423267754527
Uneasy Alliance,39496.0,0.5694753899129026,0.5616506845459676,0.007824705366935025
Karai's Technique,17594.0,0.5703648971240195,0.5625720928078684,0.007792804316151147
Dimensional Exile,18799.0,0.587212085749242,0.5796177819464717,0.007594303802770264
Michelangelo's Technique,2478.0,0.5609362389023406,0.5535804713500023,0.007355767552338244
Prehistoric Pet,5241.0,0.5853844686128601,0.5780639229454834,0.007320545667376721
Spicy Oatmeal Pizza,21813.0,0.5717691285013524,0.5646104503961874,0.007158678105165017
Mutant Town Musicians,5966.0,0.5315119007710358,0.5253081142305186,0.006203786540517231
"Raphael, Tough Turtle",20775.0,0.5340072202166065,0.5281781715570858,0.005829048659520719
Technodrome,3494.0,0.5915855752718947,0.5860199499995495,0.005565625272345165
Shredder's Revenge,12427.0,0.5581395348837209,0.5527903245670438,0.005349210316677122
Mechanized Ninja Cavalry,54887.0,0.5826334104614936,0.5773305685957256,0.005302841865768015
South Wind Avatar,5105.0,0.5563173359451518,0.5511667276596318,0.005150608285519942
Nobody,59421.0,0.5823698692381482,0.5782224606076966,0.004147408630451599
"Oroku Saki, Shredder Rising",43310.0,0.576841376125606,0.5737171821525634,0.003124193973042644
Everything Pizza,29979.0,0.6404149571366623,0.63767503317004,0.0027399239666222597
Cowabunga!,7640.0,0.5310209424083769,0.5284868656687564,0.0025340767396205832
Guac & Marshmallow Pizza,13424.0,0.5444725864123957,0.5427716829206438,0.0017009034917518928
Krang & Shredder,7577.0,0.5643394483304738,0.5626927455002321,0.0016467028302417086
Purple Dragon Punks,12426.0,0.5457910832126187,0.5441604638323962,0.0016306193802224644
"Karai, Future of the Foot",17254.0,0.5780108960241104,0.5763869151957991,0.0016239808283112778
Super Shredder,3314.0,0.5971635485817743,0.5956120966432491,0.001551451938525239
Mouser Mark III,28669.0,0.5547804248491401,0.554278876444626,0.0005015484045141072
West Wind Avatar,18222.0,0.5790802326857645,0.579591083159471,-0.0005108504737065811
Turtle Van,7255.0,0.5790489317711923,0.5799862464306438,-0.0009373146594514603
"Leonardo, Big Brother",34948.0,0.5602323451985808,0.5613776712882215,-0.0011453260896406858
High-Flying Ace,19535.0,0.5439467622216534,0.5461170156238072,-0.002170253402153821
